Rank,Team,
150,Rostov,
64,BATE,
49,B. Mönchengladbach,
11,Man. City,
70,Lille,
1,Real Madrid,
8,Dortmund,
62,Beşiktaş,
58,Monaco,
19,Basel,
104,Austria Wien,
111,CFR Cluj,
21,Shakhtar,
82,Dinamo Zagreb,
76,Real Sociedad,
12,Valencia,
13,Schalke,
45,Málaga,
33,PSV Eindhoven,
83,Ludogorets,
42,Marseille,
36,Wolfsburg,
57,Steaua,
23,Tottenham,
74,Legia,
18,Leverkusen,
30,Ajax,
20,Man. United,
105,Malmö,
2,Bayern,
26,Dynamo Kyiv,
86,København,
24,Olympiacos,
6,Benfica,
43,Plzeň,
16,Porto,
54,Celtic,
47,Club Brugge,
45,Malaga,
17,Napoli,
84,Gent,
3,Barcelona,
9,Juventus,
51,Roma,
38,Anderlecht,
4,Atletico,
32,Galatasaray,
5,Chelsea,
15,Zenit,
115,Montpellier,
40,Sporting CP,
141,Astana,
14,Sevilla,
99,M. Tel-Aviv,
10,Arsenal,
102,Spartak Moskva,
41,CSKA Moskva,
149,Nordsjælland,
25,Milan,
7,Paris St-Germain,
46,Braga,
33,PSV,
4,Atlético Madrid,
