Manuel Neuer 1,"94'22""",,,8,-,-,-,3,2,3,5,3,-,-,1,-,4,5,21,21,0,0,25,26,96%
Daniel Van Buyten 5,"94'22""",,5,,1,1,12,6,5,10,1,9,10,-,-,5,3,3,57,60,5,5,65,68,96%
Franck Ribéry 7,"67'51""",,-,-,,3,8,3,4,2,19,13,7,-,1,-,5,7,33,37,22,30,60,74,81%
Mario Mandžuki? 9,"71'07""",,-,1,2,,3,-,-,-,1,1,2,-,-,-,1,1,7,9,2,3,10,13,77%
Arjen Robben 10,"94'22""",,-,7,14,2,,9,4,3,6,8,6,2,5,3,5,7,40,50,24,29,69,86,80%
Rafinha 13,"94'22""",,2,11,3,2,10,,12,4,1,9,16,2,1,5,6,6,56,61,16,18,78,85,92%
Philipp Lahm 21,"63'51""",,-,5,3,1,8,10,,5,2,6,13,-,-,-,3,3,42,42,8,9,53,54,98%
Diego Contento 26,"94'22""",,4,9,7,-,3,1,2,,6,14,10,-,-,-,5,7,45,48,6,7,56,62,90%
David Alaba 27,"94'22""",,2,-,14,1,6,2,2,4,,17,6,2,4,-,2,3,34,42,24,24,60,69,87%
stian Schweinsteiger 31,"94'22""",,1,8,20,4,11,7,8,8,9,,19,2,7,2,10,14,64,68,32,38,106,120,88%
Toni Kroos 39,"94'22""",,-,4,11,2,12,18,7,6,8,15,,3,5,4,16,19,64,69,15,19,95,107,89%
Claudio Pizarro 14,"23'15""",,-,-,-,-,1,2,-,-,1,-,1,,5,4,0,0,5,6,9,9,14,15,93%
Mario Götze 19,"30'31""",,-,-,-,-,5,4,-,1,2,3,3,4,,3,0,1,12,16,13,15,25,32,78%
Thomas Müller 25,"26'31""",,-,4,-,-,2,-,-,1,-,1,4,2,5,,2,3,13,15,4,7,19,25,76%
Total passes received:,,,14,57,75,16,81,65,46,47,61,99,97,17,34,26,62,79,493,544,180,213,735,836,88%
