Andriy Pyatov 30,"95'36""",,,-,7,1,2,1,3,-,-,1,3,1,7,13,10,13,2,3,19,29,66%
máš Hübschman 3,"95'36""",,1,,12,5,-,5,4,5,2,5,4,-,2,3,33,37,8,11,43,51,84%
Olexandr Kucher 5,"95'36""",,8,6,,6,4,2,1,3,1,11,3,1,7,10,30,34,9,9,46,53,87%
Fernandinho 7,"95'36""",,-,4,4,,3,3,6,3,4,6,7,1,3,4,31,39,7,8,41,51,80%
Luiz Adriano 9,"95'36""",,-,1,3,5,,2,3,1,1,2,1,-,2,2,10,13,7,8,19,23,83%
Willian 10,"95'36""",,-,6,1,9,2,,4,2,2,1,2,-,2,6,20,26,7,11,29,43,67%
enrik Mkhitaryan 22,"95'36""",,-,3,2,4,2,3,,1,2,-,3,-,0,0,16,30,4,8,20,38,53%
R?zvan Ra? 26,"95'36""",,2,6,1,2,1,2,3,,-,1,5,-,2,3,16,23,5,8,23,34,68%
Alex Teixeira 29,"78'31""",,-,2,1,-,-,1,-,-,,2,1,-,0,1,3,6,4,10,7,17,41%
Darijo Srna 33,"95'36""",,2,5,7,4,1,3,6,2,2,,4,-,4,10,28,38,4,9,36,57,63%
aroslav Rakitskiy 44,"95'36""",,3,4,2,3,2,3,4,6,1,1,,-,5,7,19,22,5,6,29,35,83%
Ilsinho 77,"17'05""",,-,-,-,1,-,2,-,-,-,-,-,,0,0,0,2,3,3,3,5,60%
Total passes received:,,,16,37,40,40,17,27,34,23,15,30,33,3,34,59,216,283,65,94,315,436,72%
