Jan Oblak 13,"98'10""",,,4,2,-,-,-,3,-,-,-,2,-,-,6,8,5,5,0,0,11,13,85%
Diego Godín 2,"98'10""",,3,,9,16,1,1,1,-,6,7,4,-,-,8,9,31,33,9,11,48,53,91%
Filipe Luís 3,"98'10""",,-,6,,14,14,5,1,17,5,1,4,1,4,4,5,39,45,29,31,72,81,89%
Koke 6,"98'10""",,-,8,21,,10,2,3,11,22,7,7,-,-,12,15,54,57,25,25,91,97,94%
Antoine Griezmann 7,"98'10""",,-,2,9,9,,3,2,8,7,-,6,-,2,6,7,30,33,12,15,48,55,87%
Saúl Ñíguez 8,"60'27""",,-,2,7,1,3,,1,3,6,1,6,-,-,1,3,20,21,9,10,30,34,88%
Fernando Torres 9,"98'10""",,-,1,1,2,4,1,,2,-,-,1,-,3,0,0,10,10,5,10,15,20,75%
Yannick Carrasco 10,"81'27""",,-,2,7,6,7,7,-,,2,1,-,-,-,3,3,15,17,14,16,32,36,89%
Gabi 14,"98'10""",,-,4,9,18,8,9,5,-,,9,16,1,1,20,23,43,46,17,21,80,90,89%
Stefan Savi? 15,"98'10""",,2,8,7,6,1,2,1,1,6,,12,1,1,12,17,32,37,4,5,48,59,81%
"Šime Vrsaljko 16","98'10""",,1,-,1,12,6,-,1,-,15,12,,2,3,3,5,34,40,16,17,53,62,85%
"Ángel Correa 11","16'43""",,-,-,-,-,1,-,1,-,1,-,-,,1,0,0,4,6,0,1,4,7,57%
Kevin Gameiro 21,"37'43""",,-,-,1,-,2,-,4,1,-,-,3,-,,1,1,5,5,5,5,11,11,100
Total passes received:,,,6,37,74,84,57,30,23,43,70,38,61,5,15,76,96,322,355,145,167,543,618,88%
