Predrag Rajkovi? 95,"92'12""",,,-,-,-,1,2,-,-,-,3,1,-,1,2,3,9,6,6,1,1,10,16,62%
Gal Alberman 6,"92'12""",,-,,4,1,8,1,6,4,2,6,2,-,4,1,2,6,27,28,10,10,39,44,89%
Eran Zahavi 7,"92'12""",,-,3,,5,2,1,6,2,3,2,6,1,6,1,2,2,23,26,13,20,38,48,79%
Tal Ben Haim II 11,"92'12""",,-,-,2,,2,-,1,1,1,-,-,-,6,-,1,1,7,11,5,6,13,18,72%
Eytan Tibi 18,"92'12""",,2,5,2,8,,-,2,10,-,-,5,1,7,-,4,6,34,37,4,5,42,48,88%
Omri Ben Harush 20,"45'05""",,1,1,1,-,-,,1,1,4,5,2,-,-,-,2,4,12,12,2,3,16,19,84%
Avraham Rikan 22,"92'12""",,-,5,12,2,1,-,,-,-,7,3,1,-,-,1,1,21,25,9,10,31,36,86%
Tal Ben Haim I 26,"92'12""",,1,3,3,1,13,1,-,,-,12,1,-,3,-,0,0,30,32,8,9,38,41,93%
Gil Vermouth 28,"45'05""",,-,1,2,2,-,4,1,-,,2,1,-,-,-,0,1,10,11,3,5,13,17,76%
Carlos García 31,"92'12""",,4,8,5,3,1,7,9,8,3,,4,-,1,-,4,5,45,46,4,4,53,55,96%
Dor Peretz 42,"81'23""",,-,2,2,-,2,2,4,1,2,5,,2,2,-,1,1,15,15,8,9,24,25,96%
Eden Ben Basat 9,"47'07""",,-,1,2,1,1,-,2,1,-,-,1,,1,-,1,1,3,3,6,7,10,11,91%
Nikola Mitrovi? 24,"47'07""",,-,6,3,5,4,-,1,-,-,2,1,3,,1,3,4,15,16,8,9,26,29,90%
Nosa Igiebor 40,"10'48""",,-,1,2,-,1,-,1,-,-,-,-,-,-,,0,0,4,4,1,1,5,5,100
Total passes received:,,,8,36,40,28,36,18,34,28,15,44,27,8,31,5,24,41,252,272,82,99,358,412,87%
