ter Stegen 1,"94'07""",,,12,2,2,4,1,2,1,3,7,-,7,9,27,27,0,0,34,36,94%
Gerard Piqué 3,"94'07""",,13,,6,7,23,-,-,4,-,19,-,6,10,59,63,7,7,72,80,90%
Ivan Rakiti? 4,"94'07""",,1,7,,11,11,5,2,14,-,3,1,1,3,35,37,19,22,55,62,89%
Sergio Busquets 5,"94'07""",,1,12,11,,14,10,1,10,4,9,6,5,7,56,57,17,19,78,83,94%
Dani Alves 6,"94'07""",,2,14,12,10,,5,2,27,2,1,4,7,10,40,43,32,37,79,90,88%
Andrés Iniesta 8,"94'07""",,-,1,5,12,4,,6,5,17,3,15,3,4,45,49,20,23,68,76,89%
Luis Suárez 9,"94'07""",,-,-,1,-,1,5,,4,6,-,2,1,2,9,14,9,12,19,28,68%
Lionel Messi 10,"94'07""",,-,2,5,6,18,11,7,,11,1,2,4,5,37,40,22,27,63,72,88%
Neymar 11,"94'07""",,-,3,4,2,-,13,8,14,,4,4,2,6,32,34,18,23,52,63,83%
vier Mascherano 14,"94'07""",,8,17,3,8,4,6,-,-,2,,21,3,5,65,67,1,1,69,73,95%
Jordi Alba 18,"94'07""",,-,1,1,8,1,15,1,1,18,13,,1,2,43,46,15,20,59,68,87%
Total passes received:,,,25,69,50,66,80,71,29,80,63,60,55,40,63,448,477,160,191,648,731,89%
