Jeroen Zoet 1,"93'13""",,,1,1,4,-,-,5,8,-,-,-,-,6,11,13,13,0,0,19,24,79%
Nicolas Isimat-Mirin 2,"93'13""",,3,,6,15,1,-,1,8,2,2,4,-,0,1,38,39,4,5,42,45,93%
Héctor Moreno 3,"93'13""",,1,2,,1,1,2,4,4,6,-,7,-,3,4,21,24,4,5,28,33,85%
Jeffrey Bruma 5,"93'13""",,4,13,1,,3,5,7,9,2,12,-,-,8,10,37,39,11,11,56,60,93%
Davy Pröpper 6,"93'13""",,-,1,2,1,,4,4,5,6,4,-,1,3,5,13,15,12,12,28,32,88%
Gastón Pereiro 7,"85'08""",,-,-,1,4,2,,2,6,1,6,2,-,1,1,15,22,8,9,24,32,75%
Luuk de Jong 9,"93'13""",,-,-,1,1,3,4,,7,5,2,2,-,0,0,13,16,12,18,25,34,74%
Andrés Guardado 18,"93'13""",,1,8,7,5,2,3,4,,8,11,9,-,7,13,40,44,11,14,58,71,82%
Jürgen Locadia 19,"93'13""",,-,1,6,-,6,1,2,3,,-,12,-,2,3,15,16,14,15,31,34,91%
Joshua Brenet 20,"93'13""",,3,1,-,6,3,7,2,7,4,,1,-,6,7,16,20,12,16,34,43,79%
Jorrit Hendrix 29,"93'13""",,2,3,11,4,2,3,2,3,7,1,,-,7,9,22,23,9,10,38,42,90%
Steven Bergwijn 27,"8'05""",,-,-,-,1,1,-,-,-,-,-,-,,0,0,0,0,2,2,2,2,100%
Total passes received:,,,14,30,36,42,24,29,33,60,41,38,37,1,43,64,243,271,99,117,385,452,85%
