Iker Casillas 12,"94'26""",,,1,2,2,7,1,-,3,-,1,-,-,-,-,7,13,9,9,1,1,17,23,74%
Maxi Pereira 2,"94'26""",,-,,-,4,-,4,-,2,2,-,2,-,-,-,1,1,7,9,6,7,14,17,82%
Bruno Martins Indi 3,"94'26""",,2,-,,1,3,1,11,3,1,2,9,-,-,1,4,5,16,16,14,14,34,35,97%
Maicon 4,"94'26""",,3,5,4,,1,1,1,2,5,2,3,-,-,1,6,8,18,19,4,6,28,33,85%
Iván Marcano 5,"94'26""",,2,-,2,3,,2,3,4,-,4,2,-,-,-,3,8,19,23,0,0,22,31,71%
Rúben Neves 6,"78'42""",,1,9,1,1,2,,4,2,6,1,4,-,-,-,6,7,14,18,11,13,31,38,82%
Yacine Brahimi 8,"87'14""",,-,-,7,-,2,2,,6,1,1,10,-,-,-,0,0,18,21,11,15,29,36,81%
Vincent Aboubakar 9,"94'26""",,-,2,2,-,1,1,4,,4,1,6,-,-,-,2,3,14,16,5,14,21,33,64%
André André 20,"80'52""",,-,1,-,1,1,6,1,4,,2,2,-,-,-,2,2,7,13,9,11,18,26,69%
Danilo 22,"94'26""",,1,2,3,2,6,2,9,3,1,,-,-,-,-,4,6,22,24,3,4,29,34,85%
Giannelli Imbula 25,"94'26""",,-,3,3,2,-,7,7,2,3,12,,-,2,-,1,1,25,25,15,19,41,45,91%
Pablo Osvaldo 10,"7'12""",,-,-,1,-,-,-,-,-,-,-,-,,-,-,0,0,1,1,0,0,1,1,100
Evandro 15,"15'44""",,-,-,-,-,-,-,-,1,-,-,-,-,,-,0,1,1,2,0,0,1,3,33%
Miguel Layún 21,"13'34""",,-,-,-,-,-,-,-,1,-,-,-,-,1,,0,0,2,2,0,0,2,2,100
Total passes received:,,,9,23,25,16,23,27,40,33,23,26,38,0,3,2,36,55,173,198,79,104,288,357,81%
