Iker Casillas 1,"93'13""",,,-,2,2,4,-,1,1,-,2,-,-,-,6,13,6,6,0,0,12,19,63%
Maxi Pereira 2,"93'13""",,2,,-,1,-,6,-,4,5,7,-,-,-,0,4,14,16,11,16,25,36,69%
Iván Marcano 5,"93'13""",,2,-,,-,5,-,2,3,1,7,4,-,-,0,1,20,22,4,5,24,28,86%
André Silva 10,"93'13""",,-,1,-,,-,2,8,1,2,-,2,-,1,0,0,9,13,8,12,17,25,68%
Alex Telles 13,"93'13""",,-,-,5,3,,2,7,-,3,-,4,-,1,3,10,15,18,7,7,25,35,71%
Jesús Corona 17,"88'04""",,-,8,-,3,-,,4,2,9,1,1,-,-,0,0,15,19,13,13,28,32,88%
Diogo Jota 19,"93'13""",,-,-,-,4,6,1,,2,3,-,9,-,-,0,1,11,13,14,15,25,29,86%
Danilo 22,"93'13""",,4,2,-,3,2,3,1,,5,5,7,-,2,7,8,26,30,1,3,34,41,83%
Otávio 25,"83'50""",,-,11,-,6,3,7,4,1,,5,6,-,-,3,5,23,30,17,19,43,54,80%
Felipe 28,"93'13""",,1,8,3,3,1,7,1,7,4,,2,-,-,8,17,18,25,11,11,37,53,70%
"Óliver Torres 30","93'13""",,-,4,2,3,4,5,7,1,11,-,,1,1,5,8,24,29,10,14,39,51,76%
Silvestre Varela 7,"5'09""",,-,-,-,1,-,-,-,-,-,-,-,,1,0,0,0,0,2,2,2,2,100
Evandro 15,"9'23""",,-,1,-,-,1,-,-,1,-,-,1,2,,0,0,3,3,3,4,6,7,86%
Total passes received:,,,9,35,12,29,26,33,35,23,43,27,36,3,6,32,67,184,224,101,121,317,412,77%
