Helton 1,"94'08""",,,2,2,1,4,1,2,2,2,4,2,-,-,10,14,10,10,2,2,22,26,85%
Danilo 2,"94'08""",,2,,5,9,3,3,4,6,2,4,4,-,-,3,7,30,39,9,13,42,59,71%
Lucho González 3,"87'00""",,-,7,,4,10,6,1,9,5,1,4,-,-,4,6,31,35,12,16,47,57,82%
Josué 8,"76'21""",,-,4,7,,3,4,2,7,3,4,3,-,-,9,12,21,34,7,11,37,57,65%
ackson Martínez 9,"94'08""",,-,5,7,2,,1,-,1,1,1,6,-,1,2,3,10,16,13,18,25,37,68%
Silvestre Varela 17,"94'08""",,-,1,5,2,4,,2,2,11,2,6,-,-,4,4,21,33,10,15,35,52,67%
liaquim Mangala 22,"94'08""",,4,-,1,2,1,6,,4,6,8,7,-,1,3,5,30,36,7,9,40,50,80%
Fernando 25,"94'08""",,-,10,8,9,5,4,5,,2,6,14,1,-,3,5,50,56,11,14,64,75,85%
Alex Sandro 26,"94'08""",,1,-,4,3,5,18,6,3,,-,6,-,3,3,4,35,51,11,18,49,73,67%
icolás Otamendi 30,"94'08""",,1,4,4,6,3,1,3,6,2,,8,-,-,2,6,28,37,8,12,38,55,69%
Steven Defour 35,"94'08""",,1,5,5,5,4,5,11,11,10,9,,-,1,4,4,51,59,12,16,67,79,85%
Nabil Ghilas 11,"7'08""",,-,-,-,-,-,-,-,1,-,-,-,,-,0,0,0,0,1,1,1,1,100%
Licá 19,"17'47""",,-,-,-,-,1,-,-,1,1,-,-,1,,1,1,1,4,2,3,4,8,50%
Total passes received:,,,9,38,48,43,43,49,36,53,45,39,60,2,6,48,71,318,410,105,148,471,629,75%
