Andriy Pyatov 30,"92'48""",,,-,16,-,-,-,1,1,2,-,4,-,-,-,4,8,18,20,2,2,24,30,80%
Tomáš Hübschman 3,"92'48""",,1,,5,2,9,4,3,4,1,7,2,-,-,-,3,4,27,29,8,9,38,42,90%
Olexandr Kucher 5,"92'48""",,12,3,,2,-,14,8,5,4,43,23,-,-,1,7,9,101,104,7,7,115,120,96%
Luiz Adriano 9,"89'29""",,-,1,1,,-,2,1,2,3,5,1,-,-,-,1,1,7,10,8,10,16,21,76%
yacheslav Shevchuk 13,"92'48""",,1,4,2,2,,1,5,9,3,-,7,-,-,-,0,4,27,39,7,9,34,52,65%
Fernando 17,"83'58""",,-,3,11,2,1,,7,3,3,17,3,-,-,-,2,4,33,38,15,18,50,60,83%
Douglas Costa 20,"92'48""",,-,2,2,1,2,5,,2,1,14,-,-,-,-,1,2,18,25,10,18,29,45,64%
Taison 28,"91'07""",,-,7,7,-,10,3,3,,4,10,8,-,-,2,3,5,41,46,10,14,54,65,83%
Alex Teixeira 29,"92'48""",,-,1,1,6,3,5,4,6,,3,2,-,-,-,0,0,19,25,12,16,31,41,76%
Darijo Srna 33,"92'48""",,3,6,31,7,1,14,11,4,12,,9,-,-,-,15,33,65,76,18,22,98,131,75%
Yaroslav Rakitskiy 44,"92'48""",,6,3,23,1,9,5,2,12,3,4,,-,-,1,9,12,57,61,3,3,69,76,91%
Bernard 10,"1'41""",,-,-,-,-,-,-,-,-,-,-,-,,1,-,0,0,0,0,1,1,1,1,100
Facundo Ferreyra 19,"3'19""",,-,-,-,-,-,-,-,-,-,-,-,-,,-,0,0,0,0,0,0,0,0,0%
Ilsinho 77,"8'50""",,-,-,-,-,-,-,-,-,-,4,-,-,-,,0,0,3,3,1,1,4,4,100
Total passes received:,,,23,30,99,23,35,53,45,48,36,107,59,0,1,4,45,82,416,476,102,130,563,688,82%
