Thibaut Courtois 13,"92'41""",,,2,3,-,-,1,-,2,1,3,4,1,7,18,10,10,0,0,17,28,61%
ranislav Ivanovi? 2,"92'41""",,2,,3,4,-,2,3,-,-,1,-,1,1,2,11,11,4,5,16,18,89%
Cesc Fàbregas 4,"92'41""",,3,4,,8,8,10,7,6,12,2,4,1,5,7,37,37,23,24,65,68,96%
ul Baba Rahman 6,"92'41""",,1,2,4,,10,6,-,4,2,-,-,1,1,2,19,24,10,12,30,38,79%
Eden Hazard 10,"71'14""",,-,-,7,8,,3,3,7,3,-,1,-,1,1,21,25,10,11,32,37,86%
John Obi Mikel 12,"92'41""",,3,1,8,4,4,,4,2,6,-,3,1,2,2,25,25,9,11,36,38,95%
Pedro Rodríguez 17,"92'41""",,2,-,10,1,1,3,,1,2,1,4,-,2,4,14,17,9,12,25,33,76%
Diego Costa 19,"92'41""",,-,-,6,2,5,2,1,,5,-,-,-,0,0,9,10,12,16,21,26,81%
Willian 22,"92'41""",,-,3,8,4,4,3,4,7,,2,2,1,5,5,21,22,12,12,38,39,97%
Gary Cahill 24,"92'41""",,3,2,2,-,-,1,2,-,-,,1,-,0,1,8,8,3,3,11,12,92%
"ésar Azpilicueta 28","92'41""",,2,-,4,-,2,2,8,1,2,2,,-,2,2,10,14,11,12,23,28,82%
Oscar 8,"21'28""",,-,-,1,1,-,-,-,-,3,-,-,,0,0,3,4,2,2,5,6,83%
Total passes received:,,,16,14,56,32,34,33,32,30,36,11,19,6,26,44,188,207,105,120,319,371,86%
