yacheslav Malafeev 16,"96'17""",,,-,9,9,-,-,3,1,2,2,2,-,4,9,17,17,7,7,28,33,85%
Aleksandr Anyukov 2,"82'31""",,1,,8,-,1,-,-,1,2,14,13,1,2,2,26,37,13,19,41,58,71%
Bruno Alves 3,"96'17""",,5,6,,19,2,-,1,1,6,5,7,-,6,9,41,52,5,9,52,70,74%
Nicolas Lombaerts 6,"96'17""",,5,2,13,,8,-,11,8,10,2,1,4,12,13,47,53,5,7,64,73,88%
Danny 10,"96'17""",,-,1,2,-,,1,4,3,4,3,5,-,0,1,18,29,5,11,23,41,56%
leksandr Kerzhakov 11,"96'17""",,-,-,-,1,2,,2,2,1,-,-,-,0,0,5,8,3,6,8,14,57%
Tomáš Hubo?an 14,"96'17""",,-,-,2,11,9,1,,7,2,3,-,3,2,4,28,41,9,12,39,57,68%
Roman Shirokov 15,"74'01""",,1,3,8,3,5,1,4,,5,3,1,-,2,3,22,27,10,11,34,41,83%
Igor Denisov 27,"96'17""",,2,4,7,5,4,3,3,3,,9,5,3,7,10,36,44,6,18,49,72,68%
Axel Witsel 28,"96'17""",,-,4,6,4,6,2,5,5,6,,9,3,2,3,34,45,14,19,50,67,75%
Hulk 29,"96'17""",,-,5,-,1,3,1,3,2,-,4,,3,3,8,18,30,3,9,24,47,51%
Viktor Fayzulin 20,"22'16""",,-,1,-,1,2,-,2,-,4,5,-,,4,5,10,16,3,4,17,25,68%
"Total passes rece1iv3e'4d6: """,,,14,26,56,54,43,9,38,33,42,50,44,17,45,68,304,403,83,133,432,604,72%
