Artur 1,"95'07""",,,2,2,1,2,1,-,6,2,-,-,-,-,2,6,11,11,13,1,2,18,26,69%
Luisão 4,"95'07""",,3,,6,1,11,1,5,6,-,2,1,-,-,-,4,4,27,30,5,6,36,40,90%
Ljubomir Fejsa 5,"95'07""",,-,11,,5,7,4,7,6,5,6,4,-,-,3,6,10,39,45,13,16,58,71,82%
Lima 11,"95'07""",,-,1,2,,2,7,5,-,2,3,-,1,-,1,2,2,11,17,11,14,24,33,73%
Maxi Pereira 14,"95'07""",,-,2,10,5,,6,3,-,2,7,8,1,-,2,3,5,20,26,23,26,46,57,81%
Nicolás Gaitán 20,"78'19""",,1,4,4,6,4,,2,1,3,2,3,-,-,-,2,5,20,25,8,15,30,45,67%
Nemanja Mati? 21,"95'07""",,-,-,4,7,1,5,,6,7,4,5,1,-,1,2,5,26,34,13,20,41,59,69%
Ezequiel Garay 24,"95'07""",,3,9,2,2,1,2,5,,8,5,2,-,-,2,3,4,35,39,3,3,41,46,89%
Sílvio 28,"95'07""",,-,1,4,4,3,11,12,2,,2,5,1,-,-,0,1,28,33,17,20,45,54,83%
Enzo Pérez 35,"91'17""",,1,2,4,4,6,4,7,3,2,,1,-,-,4,1,3,29,33,8,11,38,47,81%
Lazar Markovi? 50,"70'35""",,-,-,2,2,5,2,4,3,2,2,,-,-,-,2,3,12,16,8,11,22,30,73%
Miralem Sulejmani 8,"16'48""",,-,-,1,1,2,-,1,-,-,-,-,,-,-,2,3,2,5,1,1,5,9,56%
André Gomes 30,"3'50""",,-,-,1,-,-,-,-,-,-,-,-,-,,1,0,0,0,0,2,2,2,2,100
Ivan Cavaleiro 90,"24'32""",,-,-,-,-,1,1,2,-,1,2,-,2,1,,0,0,6,8,4,6,10,14,71%
Total passes received:,,,8,32,42,38,45,44,53,33,34,35,29,6,1,16,33,56,266,324,117,153,416,533,78%
