cheslav Malafeev 16,"93'09""",,,2,10,2,-,1,-,1,1,2,-,1,-,-,5,7,15,15,0,1,20,23,87%
eksandr Anyukov 2,"93'09""",,2,,15,2,1,3,3,5,1,4,3,4,-,-,4,6,32,41,7,9,43,56,77%
Bruno Alves 3,"93'09""",,4,11,,24,-,5,2,7,1,7,3,3,1,-,13,17,48,58,7,8,68,83,82%
icolas Lombaerts 6,"93'09""",,3,2,12,,-,3,4,9,4,7,-,-,2,1,6,7,37,42,4,4,47,53,89%
sandr Kerzhakov 11,"93'09""",,-,-,-,-,,-,1,1,1,1,1,1,-,-,0,1,6,8,0,1,6,10,60%
Roman Shirokov 15,"86'53""",,1,2,4,2,-,,4,7,1,6,7,1,-,-,3,4,26,40,6,9,35,53,66%
stantin Zyryanov 18,"75'33""",,-,2,3,1,-,3,,4,-,9,-,1,-,-,2,4,13,17,8,14,23,35,66%
Viktor Fayzulin 20,"93'09""",,-,3,1,2,2,9,4,,4,12,3,1,4,1,3,6,36,47,7,8,46,61,75%
ksandar Lukovi? 24,"39'25""",,-,1,1,2,-,3,-,5,,1,-,-,-,-,1,1,6,8,6,9,13,18,72%
Igor Denisov 27,"93'09""",,1,6,7,3,1,13,4,8,2,,3,1,-,1,2,4,41,50,7,10,50,64,78%
Hulk 29,"93'09""",,1,2,-,-,1,1,1,-,-,2,,1,-,1,1,2,6,19,3,8,10,29,34%
Vladimir Bystrov 34,"53'44""",,-,-,6,-,-,1,-,2,-,2,-,,-,-,1,1,10,15,0,1,11,17,65%
Luka Djordjevi? 77,"17'36""",,-,-,-,-,1,1,-,-,-,2,-,1,,-,1,2,3,4,1,2,5,8,62%
Michael Lumb 82,"6'16""",,-,-,-,1,-,-,-,-,-,1,-,-,-,,0,0,2,4,0,0,2,4,50%
Total passes received:,,,12,31,59,39,6,43,23,49,15,56,20,15,7,4,42,62,281,368,56,84,379,514,74%
