Milan Borjan 1,"93'06""",,,8,2,-,4,-,2,3,-,1,1,-,3,10,17,17,1,1,21,28,75%
José Luis Palomino 5,"93'06""",,2,,19,3,7,2,-,6,1,3,6,-,3,4,35,36,11,13,49,53,92%
Natanael 6,"93'06""",,2,8,,6,5,2,-,-,3,9,15,1,4,7,35,38,12,15,51,60,85%
Anicet Abel 12,"93'06""",,1,5,8,,4,3,4,2,-,5,1,2,2,3,22,23,11,13,35,39,90%
Svetoslav Dyakov 18,"93'06""",,-,9,8,8,,3,5,8,1,4,3,1,2,3,37,42,11,11,50,56,89%
Jonathan Cafú 22,"93'06""",,-,-,2,1,2,,9,1,1,6,-,-,0,0,13,14,9,11,22,25,88%
Yordan Minev 25,"93'06""",,2,1,1,4,5,4,,11,1,3,1,1,2,3,28,31,4,4,34,38,89%
Cosmin Mo?i 27,"93'06""",,8,9,1,1,7,4,6,,-,3,1,-,9,15,27,28,4,4,40,47,85%
Claudiu Ke?erü 28,"79'30""",,-,-,-,-,3,1,-,-,,2,2,-,1,1,5,6,2,4,8,11,73%
Marcelinho 84,"93'06""",,-,1,5,5,3,7,4,2,1,,10,-,5,8,18,20,15,19,38,47,81%
Wanderson 88,"93'06""",,-,2,8,2,4,4,1,-,2,10,,1,4,6,18,18,12,14,34,38,89%
Virgil Misidjan 93,"13'36""",,-,1,-,-,-,-,5,-,-,1,-,,0,0,4,4,3,4,7,8,88%
Total passes received:,,,15,44,54,30,44,30,36,33,10,47,40,6,35,60,259,277,95,113,389,450,86%
