Petr ?ech 1,"94'10""",,,6,-,1,1,1,2,4,2,4,4,-,-,-,18,27,7,7,0,0,25,34,74%
ranislav Ivanovi? 2,"94'10""",,1,,3,6,4,4,-,9,9,2,-,-,-,1,3,3,23,32,13,15,39,50,78%
Ramires 7,"94'10""",,-,4,,5,4,4,3,5,6,5,1,1,-,-,5,10,28,32,5,9,38,51,75%
Frank Lampard 8,"94'10""",,1,3,6,,10,7,3,7,5,9,7,-,3,-,8,10,43,45,10,14,61,69,88%
Fernando Torres 9,"94'10""",,1,2,2,1,,2,2,5,-,-,1,-,-,-,2,3,6,15,8,18,16,36,44%
Oscar 11,"84'07""",,1,4,6,5,5,,4,2,2,1,4,-,2,-,2,4,23,29,11,16,36,49,73%
André Schürrle 14,"72'42""",,-,1,1,4,2,2,,2,-,1,6,-,-,-,2,3,13,21,4,10,19,34,56%
Eden Hazard 17,"88'55""",,-,3,7,3,6,7,1,,1,1,2,-,2,-,1,3,22,26,10,17,33,46,72%
Gary Cahill 24,"94'10""",,2,4,8,7,-,1,-,6,,9,1,1,2,-,6,8,30,32,5,6,41,46,89%
John Terry 26,"94'10""",,4,-,2,10,1,-,1,1,8,,16,1,2,-,6,7,30,33,10,12,46,52,88%
"ésar Azpilicueta 28","94'10""",,4,2,5,8,2,7,7,2,1,9,,-,1,-,4,8,37,45,7,11,48,64,75%
David Luiz 4,"10'03""",,-,1,-,-,-,-,-,1,1,-,-,,-,-,0,0,3,3,0,3,3,6,50%
John Obi Mikel 12,"21'28""",,-,-,2,2,-,3,-,1,1,1,3,-,,1,2,2,11,11,1,2,14,15,93%
Samuel Eto'o 29,"5'15""",,-,-,-,-,-,-,-,-,-,-,-,-,1,,0,0,0,0,1,1,1,1,100
Total passes received:,,,14,30,42,52,35,38,23,45,36,42,45,3,13,2,59,88,276,331,85,134,420,553,76%
