lexandr Shovkovskiy 1,"92'07""",,,1,16,-,1,6,2,1,1,1,7,-,1,9,13,28,29,0,0,37,42,88%
Danilo Silva 2,"92'07""",,3,,1,10,3,3,1,2,-,1,6,-,1,1,3,21,26,9,10,31,39,79%
Aleksandar Dragovic 6,"92'07""",,16,-,,-,2,7,2,15,6,1,11,-,-,7,11,47,50,6,9,60,70,86%
Andriy Yarmolenko 10,"92'07""",,-,12,1,,5,2,1,-,6,4,-,-,-,2,2,14,14,15,19,31,35,89%
Serhiy Sydorchuk 16,"92'07""",,1,6,4,7,,2,-,3,-,1,7,1,-,3,5,22,25,7,8,32,38,84%
Serhiy Rybalka 17,"92'07""",,2,8,13,8,3,,1,3,4,6,6,-,1,5,7,41,44,9,11,55,62,89%
Artem Kravets 22,"77'41""",,-,-,1,3,2,-,,2,1,4,-,-,-,0,0,6,8,7,10,13,18,72%
Domagoj Vida 24,"92'07""",,2,-,9,1,2,1,2,,10,4,-,-,-,3,3,20,23,8,9,31,35,89%
Derlis González 25,"92'07""",,-,-,1,1,4,5,3,8,,1,-,2,-,0,0,18,22,7,7,25,29,86%
Vitaliy Buyalskiy 29,"82'23""",,-,3,6,5,2,1,3,3,3,,2,-,-,3,3,17,19,8,9,28,31,90%
Yevhen Khacheridi 34,"92'07""",,5,5,13,1,8,12,2,1,3,5,,-,-,8,9,40,44,7,7,55,60,92%
Júnior Moraes 11,"14'26""",,-,-,-,-,-,-,-,-,2,1,-,,-,0,0,2,2,1,1,3,3,100%
Denys Garmash 19,"9'44""",,-,-,-,-,-,-,-,1,-,-,-,-,,1,1,0,0,0,0,1,1,100%
Total passes received:,,,29,35,65,36,32,39,17,39,36,29,39,3,3,42,57,276,306,84,100,402,463,87%
