Ederson 1,"96'25""",,,1,4,-,1,4,1,-,-,-,1,-,1,-,3,11,10,10,0,0,13,21,62%
Alex Grimaldo 3,"96'25""",,-,,1,7,1,6,-,2,15,8,-,3,-,-,1,1,22,26,20,22,43,49,88%
Luisão 4,"96'25""",,2,-,,9,-,10,1,-,5,-,12,1,-,-,0,0,32,34,8,8,40,42,95%
Ljubomir Fejsa 5,"60'32""",,-,9,3,,1,6,4,5,10,4,6,-,-,-,1,2,35,35,12,12,48,49,98%
Kostas Mitroglou 11,"72'10""",,-,-,-,-,,-,2,-,-,-,-,-,-,-,0,0,0,1,2,4,2,5,40%
tor Nilsson Lindelöf 14,"96'25""",,2,12,7,9,1,,-,-,8,2,-,1,-,-,5,9,28,30,9,9,42,48,88%
Eduardo Salvio 18,"96'25""",,-,1,1,4,1,1,,4,7,2,2,-,-,-,2,2,12,12,9,11,23,25,92%
Gonçalo Guedes 20,"89'03""",,-,2,-,-,1,1,2,,2,3,3,-,-,-,2,3,7,8,5,7,14,18,78%
Pizzi 21,"96'25""",,-,15,12,7,1,11,5,5,,10,3,5,2,-,11,13,52,56,13,17,76,86,88%
Franco Cervi 22,"96'25""",,-,4,-,2,1,-,2,1,9,,-,-,2,-,1,2,14,18,6,8,21,28,75%
Nélson Semedo 50,"96'25""",,1,-,5,2,-,-,9,3,5,-,,1,-,-,2,4,18,20,6,6,26,30,87%
Andreas Samaris 7,"35'53""",,-,4,-,-,-,1,1,-,4,-,3,,-,-,0,0,10,10,3,3,13,13,100
Raúl Jiménez 9,"24'15""",,-,-,-,-,-,-,1,-,-,-,-,-,,-,0,0,1,1,0,1,1,2,50%
André Almeida 34,"7'22""",,-,-,-,-,-,-,1,-,1,1,-,-,-,,0,0,2,2,1,1,3,3,100
Total passes received:,,,5,48,33,40,8,40,29,20,66,30,30,11,5,0,28,47,243,263,94,109,365,419,87%
