Roman Weidenfeller 1,"93'45""",,,4,2,1,-,-,2,1,2,2,4,-,3,8,14,14,1,1,18,23,78%
Manuel Friedrich 2,"93'45""",,5,,3,2,2,9,6,1,12,4,2,1,2,5,30,34,15,17,47,56,84%
Robert Lewandowski 9,"93'45""",,-,-,,3,4,3,2,4,5,3,4,-,1,1,12,18,15,23,28,42,67%
Henrikh Mkhitaryan 10,"93'45""",,-,2,5,,7,5,-,7,7,3,-,-,6,8,19,25,11,18,36,51,71%
Marco Reus 11,"93'45""",,-,1,6,7,,7,6,3,4,-,9,1,1,6,28,33,15,22,44,61,72%
Miloš Joji? 14,"93'45""",,-,6,6,4,7,,6,4,11,9,2,1,6,7,34,43,16,27,56,77,73%
Mats Hummels 15,"93'45""",,1,3,3,2,6,11,,5,15,2,10,-,7,11,40,54,11,13,58,78,74%
Kevin Grosskreutz 19,"93'45""",,-,1,3,4,3,3,1,,10,2,9,-,2,3,26,33,8,17,36,53,68%
Oliver Kirch 21,"93'45""",,2,12,8,5,9,10,13,8,,12,12,-,13,21,62,72,16,23,91,116,78%
"?ukasz Piszczek 26","82'02""",,-,1,4,10,3,9,1,1,14,,-,-,0,3,35,44,8,12,43,59,73%
Erik Durm 37,"93'45""",,3,3,3,3,5,3,23,11,15,1,,-,5,8,45,51,20,26,70,85,82%
merick Aubameyang 17,"11'43""",,-,-,1,1,1,-,-,-,-,-,-,,0,0,2,3,1,1,3,4,75%
Total passes received:,,,11,33,44,42,47,60,60,45,95,38,52,3,46,81,347,424,137,200,530,705,75%
