Claudio Bravo 1,"94'20""",,,3,6,1,1,4,2,1,3,6,6,1,-,-,18,27,16,21,0,1,34,49,69%
Carlos Martínez 2,"94'20""",,2,,9,12,4,1,3,1,4,3,1,-,-,-,5,10,27,37,8,12,40,59,68%
Mikel González 3,"94'20""",,3,9,,5,7,9,2,-,2,2,1,-,-,-,5,7,32,38,3,6,40,51,78%
Gorka Elustondo 4,"94'20""",,-,8,10,,5,6,3,4,4,6,3,-,1,-,5,8,38,43,7,8,50,59,85%
Markel Bergara 5,"94'20""",,-,2,6,4,,6,2,2,-,1,8,1,-,-,4,5,23,24,5,9,32,38,84%
Iñigo Martínez 6,"94'20""",,10,5,6,5,-,,4,1,3,2,4,-,-,-,9,15,29,31,2,4,40,50,80%
toine Griezmann 7,"84'10""",,-,4,-,3,1,1,,1,3,2,3,-,-,-,0,5,12,20,6,14,18,39,46%
Haris Seferovic 8,"68'28""",,-,1,-,1,1,-,-,,5,2,5,-,-,-,1,1,10,18,4,8,15,27,56%
Carlos Vela 11,"94'20""",,1,3,-,-,2,3,4,5,,7,4,-,1,-,6,9,17,24,7,9,30,42,71%
David Zurutuza 17,"91'04""",,-,2,2,3,2,-,4,3,11,,6,3,-,-,5,6,24,34,7,14,36,54,67%
lberto de la Bella 24,"94'20""",,2,1,-,5,4,8,4,5,4,11,,1,2,-,8,11,29,37,10,12,47,60,78%
Imanol Agirretxe 9,"25'52""",,-,-,-,-,1,-,1,-,1,-,-,,-,-,1,1,2,5,0,0,3,6,50%
Chori Castro 18,"10'10""",,-,-,1,-,-,-,-,-,-,-,-,-,,1,0,3,2,3,0,0,2,6,33%
Javier Ros 23,"3'16""",,-,-,-,-,-,-,-,-,-,-,-,-,-,,0,0,0,2,0,0,0,2,0%
Total passes received:,,,18,38,40,39,28,38,29,23,40,42,41,6,4,1,67,108,261,337,59,97,387,542,71%
