Diego Benaglio 1,"95'02""",,,-,-,2,-,2,4,5,1,9,2,-,-,-,4,7,21,21,0,0,25,28,89%
Marcel Schäfer 4,"95'02""",,1,,4,-,4,-,-,11,1,1,3,-,3,-,1,2,20,24,7,8,28,34,82%
Daniel Caligiuri 7,"61'13""",,-,6,,1,5,1,-,-,5,-,3,-,-,-,2,2,15,16,4,5,21,23,91%
Vieirinha 8,"95'02""",,1,1,2,,7,4,11,2,3,1,5,1,-,-,3,3,21,23,14,20,38,46,83%
Max Kruse 11,"81'58""",,-,6,6,3,,2,2,1,4,1,6,-,3,-,5,5,16,19,13,16,34,40,85%
Bas Dost 12,"86'40""",,-,-,-,2,2,,2,-,5,-,3,-,1,-,1,1,9,11,5,5,15,17,88%
Christian Träsch 15,"95'02""",,2,-,1,13,1,-,,2,9,9,8,-,-,-,1,9,29,33,15,16,45,58,78%
Dante 18,"95'02""",,5,11,5,2,3,3,1,,8,8,9,-,2,-,8,10,37,44,12,13,57,67,85%
osuha Guilavogui 23,"95'02""",,-,6,4,10,3,3,14,7,,10,10,2,1,-,6,6,43,48,21,24,70,78,90%
Naldo 25,"95'02""",,3,1,3,5,5,1,11,4,15,,10,1,-,1,12,14,43,49,5,6,60,69,87%
aximilian Arnold 27,"95'02""",,3,6,5,3,5,2,5,14,5,8,,-,2,-,7,9,42,48,9,14,58,71,82%
Nicklas Bendtner 3,"8'23""",,-,1,-,-,-,-,-,-,-,-,1,,-,-,0,1,2,2,0,0,2,3,67%
André Schürrle 17,"33'49""",,-,-,-,1,2,-,-,1,1,-,1,2,,-,1,1,1,2,6,6,8,9,89%
Sebastian Jung 24,"13'05""",,-,-,-,1,-,-,1,-,-,-,-,-,1,,0,0,2,2,1,1,3,3,100
Total passes received:,,,15,38,30,43,37,18,51,47,57,47,61,6,13,1,51,70,301,342,112,134,464,546,85%
