Sergio Rico 1,"95'08""",,,1,4,-,3,2,4,1,1,1,1,-,1,15,29,2,2,2,2,19,33,58%
ariano Ferreira 3,"95'08""",,2,,2,1,5,8,1,4,-,4,-,-,2,4,4,18,20,7,13,29,37,78%
Vicente Iborra 8,"95'08""",,3,4,,8,4,1,1,1,-,2,2,-,1,3,3,13,15,11,13,27,31,87%
Samir Nasri 10,"88'05""",,-,1,4,,12,4,8,4,2,1,3,-,3,2,3,20,23,20,23,42,49,86%
Steven N'Zonzi 15,"95'08""",,2,9,9,11,,3,9,5,9,2,5,-,4,2,3,41,44,25,26,68,73,93%
Pablo Sarabia 17,"65'23""",,-,4,2,5,3,,-,1,-,1,-,-,-,0,1,7,8,9,13,16,22,73%
ergio Escudero 18,"95'08""",,-,-,1,6,7,-,,6,1,-,4,-,1,0,0,12,16,14,17,26,33,79%
Vitolo 20,"95'08""",,-,2,-,6,1,2,2,,-,-,2,-,3,1,2,8,13,9,14,18,29,62%
Nicolás Pareja 21,"95'08""",,2,2,2,-,5,-,1,1,,1,5,-,-,5,9,12,12,2,2,19,23,83%
Adil Rami 23,"95'08""",,2,3,1,-,2,2,-,1,3,,1,-,-,1,4,11,15,3,3,15,22,68%
abriel Mercado 24,"95'08""",,-,-,2,1,10,-,5,1,3,-,,-,1,0,0,15,17,8,9,23,26,88%
tías Kranevitter 4,"7'03""",,-,-,1,-,-,-,-,-,-,-,-,,-,0,0,1,1,0,0,1,1,100
am Ben Yedder 12,"29'45""",,-,2,1,2,3,-,1,5,-,-,1,-,,1,1,5,6,9,10,15,17,88%
Total passes received:,,,11,28,29,40,55,22,32,30,19,12,24,0,16,34,59,165,192,119,145,318,396,80%
