Gianluigi Buffon 1,"95'06""",,,3,5,-,1,3,8,4,-,1,-,-,5,10,18,18,2,2,25,30,83%
Giorgio Chiellini 3,"95'06""",,3,,4,1,8,10,1,18,2,-,3,-,3,8,39,40,8,8,50,56,89%
laudio Marchisio 8,"95'06""",,-,6,,3,6,3,3,10,5,2,3,2,7,10,30,32,6,6,43,48,90%
"Álvaro Morata 9","95'06""",,-,2,3,,4,2,-,-,5,-,3,-,0,1,4,6,15,18,19,25,76%
Paul Pogba 10,"95'06""",,-,7,4,5,,11,-,2,4,1,2,3,2,5,25,26,12,14,39,45,87%
Alex Sandro 12,"95'06""",,2,4,2,5,12,,-,2,5,1,2,-,1,1,22,25,12,14,35,40,88%
Andrea Barzagli 15,"95'06""",,7,3,8,1,3,-,,19,3,10,4,4,5,5,48,48,9,10,62,63,98%
eonardo Bonucci 19,"95'06""",,2,19,5,2,4,2,17,,7,-,5,-,8,11,50,51,5,6,63,68,93%
Paulo Dybala 21,"95'06""",,-,1,4,4,6,6,5,-,,3,4,-,4,5,20,23,9,11,33,39,85%
phan Lichtsteiner 26,"76'04""",,-,-,4,1,1,-,7,2,7,,7,-,1,1,13,13,15,15,29,29,100%
Stefano Sturaro 27,"95'06""",,-,1,3,2,1,1,7,1,3,6,,1,0,1,17,20,9,12,26,33,79%
Juan Cuadrado 16,"19'02""",,-,-,1,1,2,1,1,-,2,-,1,,0,0,7,7,2,2,9,9,100%
Total passes received:,,,14,46,43,25,48,39,49,58,43,24,34,10,36,58,293,309,104,118,433,485,89%
