Kasper Schmeichel 1,"94'34""",,,3,2,1,-,2,-,-,2,1,5,-,-,-,11,29,5,5,0,0,16,34,47%
Luis Hernandez 2,"94'34""",,1,,4,2,-,5,-,6,1,3,-,-,-,-,2,4,13,18,7,10,22,32,69%
Danny Drinkwater 4,"94'34""",,4,4,,6,2,4,6,5,4,5,6,-,1,-,10,12,28,32,9,10,47,54,87%
Wes Morgan 5,"94'34""",,2,6,5,,1,-,-,4,-,-,-,-,-,-,1,1,10,13,7,7,18,21,86%
Robert Huth 6,"94'34""",,2,-,2,1,,-,-,1,-,-,2,-,-,-,0,0,7,7,1,1,8,8,100
Jamie Vardy 9,"93'09""",,-,-,1,-,-,,3,-,4,1,-,-,1,-,1,1,3,7,6,7,10,15,67%
Marc Albrighton 11,"94'34""",,-,-,1,-,-,1,,1,-,1,5,-,-,-,1,4,7,12,1,5,9,21,43%
Daniel Amartey 13,"94'34""",,-,2,6,2,2,2,1,,2,9,3,-,-,-,2,3,19,21,8,9,29,33,88%
Islam Slimani 19,"81'54""",,-,1,4,-,-,3,5,-,,3,1,-,-,-,0,0,9,14,8,10,17,24,71%
Riyad Mahrez 26,"88'05""",,-,4,3,1,-,2,1,2,6,,-,-,-,-,0,2,10,18,9,11,19,31,61%
Christian Fuchs 28,"94'34""",,3,-,8,-,1,3,5,2,3,1,,-,-,-,1,2,20,25,5,5,26,32,81%
Ahmed Musa 7,"1'25""",,-,-,-,-,-,-,-,-,-,-,-,,-,-,0,0,0,0,0,0,0,0,0%
Andy King 10,"12'40""",,-,-,-,-,-,-,-,1,-,-,-,-,,1,0,0,0,0,2,2,2,2,100
Demarai Gray 22,"6'29""",,-,-,-,-,-,-,-,-,-,-,-,-,-,,0,0,0,0,0,1,0,1,0%
Total passes received:,,,12,20,36,13,6,22,21,22,22,24,22,0,2,1,29,58,131,172,63,78,223,308,72%
