an Weidenfeller 1,"95'24""",,,3,2,4,1,-,-,-,2,1,-,-,1,-,8,20,5,6,1,1,14,27,52%
Manuel Friedrich 2,"95'24""",,1,,3,2,1,3,4,-,2,1,-,-,-,-,2,3,7,13,8,12,17,28,61%
Sebastian Kehl 5,"95'24""",,-,2,,3,6,3,5,4,1,3,5,-,-,-,1,5,19,26,12,22,32,53,60%
ert Lewandowski 9,"95'24""",,-,-,1,,3,5,6,3,-,3,2,2,1,-,0,3,16,23,10,20,26,46,57%
nrikh Mkhitaryan 10,"70'54""",,-,1,4,7,,2,4,5,-,2,1,-,-,-,1,3,12,16,13,21,26,40,65%
Marco Reus 11,"86'01""",,-,4,3,3,1,,3,1,1,8,1,-,-,-,1,3,12,24,12,23,25,50,50%
Nuri ?ahin 18,"95'24""",,1,1,3,9,5,6,,9,2,5,9,1,1,-,3,11,32,39,17,27,52,77,68%
evin Grosskreutz 19,"91'45""",,-,-,1,3,4,5,7,,4,-,4,1,1,-,2,2,10,21,18,24,30,47,64%
apastathopoulos 25,"95'24""",,8,-,3,3,1,1,5,4,,-,2,-,-,-,0,2,16,25,11,14,27,41,66%
"?ukasz Piszczek 26","95'24""",,-,1,7,6,2,9,4,1,-,,-,-,2,-,3,8,17,30,12,20,32,58,55%
arcel Schmelzer 29,"95'24""",,6,-,1,7,2,1,9,7,5,-,,-,-,-,3,4,18,26,17,26,38,56,68%
Jonas Hofmann 7,"9'23""",,-,-,-,2,-,-,1,-,-,1,-,,2,-,0,0,4,5,2,2,6,7,86%
rick Aubameyang 17,"24'30""",,-,-,-,1,-,1,4,-,-,1,-,-,,-,0,1,5,8,2,3,7,12,58%
Eri? Durm 37,"3'39""",,-,-,-,-,-,-,1,-,-,-,1,-,-,,0,0,0,0,2,2,2,2,100
Total passes received:,,,16,12,28,50,26,36,53,34,17,25,25,4,8,0,24,65,173,262,137,217,334,544,61%
