Joe Hart 1,"95'34""",,,7,3,-,1,-,-,2,3,8,4,-,1,2,9,19,20,22,2,2,31,43,72%
Vincent Kompany 4,"95'34""",,6,,11,4,1,4,-,-,3,28,11,-,9,-,13,14,58,66,6,6,77,86,90%
Pablo Zabaleta 5,"95'34""",,1,14,,2,3,3,2,13,-,3,2,-,2,-,1,4,34,42,10,12,45,58,78%
Samir Nasri 8,"57'35""",,-,2,2,,2,3,2,1,7,1,6,-,1,-,3,3,16,20,8,10,27,33,82%
Edin Džeko 10,"95'34""",,1,1,-,2,,-,1,2,1,-,-,-,-,1,0,0,3,6,6,10,9,16,56%
Javi García 14,"33'21""",,-,9,3,-,-,,1,2,4,4,7,-,-,-,3,5,21,23,6,7,30,35,86%
Sergio Agüero 16,"95'34""",,-,-,1,1,-,1,,1,3,2,3,1,-,-,0,2,8,19,5,9,13,30,43%
David Silva 21,"95'34""",,-,1,6,3,4,2,4,,1,2,7,2,2,-,9,12,14,15,11,17,34,44,77%
Gaël Clichy 22,"82'03""",,4,4,-,11,3,1,5,3,,12,14,2,-,-,3,7,42,55,14,18,59,80,74%
Matija Nastasi? 33,"95'34""",,1,19,2,5,4,3,3,2,9,,16,1,8,1,3,7,59,74,12,19,74,100,74%
Yaya Touré 42,"95'34""",,3,12,8,6,1,6,5,4,10,12,,2,6,-,10,17,55,63,10,15,75,95,79%
Aleksandar Kolarov 13,"37'59""",,-,3,-,-,-,-,2,-,3,1,1,,2,-,4,5,6,11,2,4,12,20,60%
Jack Rodwell 17,"62'13""",,-,9,6,2,-,-,-,2,3,6,4,-,,1,1,3,27,29,5,10,33,42,79%
Mario Balotelli 45,"13'31""",,-,-,-,-,-,-,-,1,-,-,1,1,-,,0,0,1,1,2,3,3,4,75%
Total passes received:,,,16,81,42,36,19,23,25,33,47,79,76,9,31,5,59,98,364,446,99,142,522,686,76%
