Jeroen Zoet 1,"125'31""",,,2,6,1,1,2,12,2,-,-,3,-,-,2,22,42,9,9,0,0,31,51,61%
olas Isimat-Mirin 2,"125'31""",,3,,9,-,2,1,-,6,6,3,1,-,-,4,0,2,30,31,5,5,35,38,92%
Héctor Moreno 3,"125'31""",,2,6,,2,12,2,3,2,7,2,4,-,1,2,6,10,32,33,7,8,45,51,88%
Santiago Arias 4,"125'31""",,2,-,-,,4,6,5,-,5,-,8,-,-,1,4,6,17,18,10,11,31,35,89%
Jeffrey Bruma 5,"125'31""",,6,3,9,7,,2,2,-,2,-,2,-,1,1,4,10,26,27,5,5,35,42,83%
Davy Pröpper 6,"125'31""",,-,3,-,4,7,,6,1,7,2,2,-,-,1,2,3,22,25,9,12,33,40,82%
Luuk de Jong 9,"121'33""",,-,-,1,2,-,4,,1,5,3,3,-,2,-,0,0,11,14,10,13,21,27,78%
Jetro Willems 15,"75'29""",,-,2,4,-,-,1,1,,5,5,1,-,-,-,2,4,12,15,5,7,19,26,73%
ndrés Guardado 18,"125'31""",,-,10,5,6,3,6,1,10,,7,5,-,1,6,8,12,41,47,11,13,60,72,83%
Jürgen Locadia 19,"87'09""",,-,2,-,1,1,3,2,4,8,,3,-,-,2,0,2,20,24,6,7,26,33,79%
arco van Ginkel 28,"125'31""",,-,2,3,6,1,2,4,-,4,2,,-,1,2,2,3,20,27,5,6,27,36,75%
uciano Narsingh 11,"3'58""",,-,-,-,-,-,-,-,-,-,-,-,,-,-,0,0,0,0,0,0,0,0,0%
axime Lestienne 16,"38'22""",,-,-,1,-,-,1,1,-,2,-,-,-,,1,1,3,1,4,4,4,6,11,55%
Joshua Brenet 20,"50'02""",,-,2,-,-,-,-,-,-,6,4,1,-,5,,1,1,10,11,7,9,18,21,86%
Total passes received:,,,13,32,38,29,31,30,37,26,57,28,33,0,11,22,52,98,251,285,84,100,387,483,80%
