Keylor Navas 1,"96'37""",,,4,4,1,2,-,-,2,1,3,1,-,-,6,9,11,11,1,1,18,21,86%
Pepe 3,"96'37""",,1,,15,4,6,1,3,1,4,13,15,-,-,6,7,50,51,7,8,63,66,95%
Sergio Ramos 4,"96'37""",,2,17,,3,20,1,1,19,6,1,15,-,-,6,9,66,69,13,14,85,92,92%
Cristiano Ronaldo 7,"96'37""",,-,1,3,,6,2,3,4,1,2,2,-,-,2,2,14,16,8,11,24,29,83%
Toni Kroos 8,"96'37""",,1,5,10,13,,5,5,13,5,4,17,-,1,11,11,50,51,18,22,79,84,94%
Karim Benzema 9,"86'18""",,-,1,1,2,3,,2,5,2,3,4,-,-,0,1,14,16,9,13,23,30,77%
Gareth Bale 11,"96'37""",,-,3,-,4,4,4,,3,-,5,2,-,2,5,7,9,11,13,15,27,33,82%
Marcelo 12,"96'37""",,1,2,14,6,5,11,4,,1,-,5,-,-,5,9,33,35,11,13,49,57,86%
Casemiro 14,"96'37""",,1,4,6,1,9,1,1,3,,5,3,-,-,3,4,23,26,8,8,34,38,89%
Dani Carvajal 15,"96'37""",,1,12,5,3,2,1,8,-,3,,14,-,-,2,2,41,46,6,9,49,57,86%
Luka Modri? 19,"93'40""",,-,8,15,2,13,6,9,1,2,16,,-,-,9,12,50,52,13,15,72,79,91%
Raphaël Varane 2,"2'57""",,-,-,-,1,-,-,-,-,-,-,-,,-,0,0,1,1,0,0,1,1,100%
Jesé 20,"10'19""",,-,-,-,-,-,-,1,-,-,-,-,-,,0,0,0,1,1,1,1,2,50%
Total passes received:,,,7,57,73,40,70,32,37,51,25,52,78,0,3,55,73,362,386,108,130,525,589,89%
