Nenad Eri? 1,"93'19""",,,2,4,-,-,-,3,-,1,1,-,-,2,-,7,13,5,5,1,1,13,19,68%
Marin Ani?i? 5,"93'19""",,2,,-,-,1,1,3,6,4,3,-,-,-,-,2,5,16,17,2,2,20,24,83%
emanja Maksimovi? 6,"93'19""",,1,4,,4,2,-,1,1,3,2,-,1,1,-,1,3,13,16,6,9,20,28,71%
Foxi Kéthévoama 10,"93'19""",,-,-,3,,2,1,1,-,6,1,-,-,1,-,3,4,9,14,3,4,15,22,68%
Serikzhan Muzhikov 11,"77'11""",,-,1,1,1,,1,3,-,-,3,3,-,-,-,2,3,6,10,5,8,13,21,62%
aurzhan Dzholchiyev 22,"89'12""",,-,-,-,-,4,,-,-,-,-,5,-,-,-,0,0,6,8,3,6,9,14,64%
Branko Ili? 33,"93'19""",,4,2,1,-,3,4,,3,1,2,1,-,-,-,3,5,15,20,3,5,21,30,70%
Evgeni Postnikov 44,"93'19""",,2,3,1,1,-,1,8,,2,4,-,-,-,-,6,11,12,14,4,4,22,29,76%
Dmitri Shomko 77,"93'19""",,1,3,4,7,-,1,-,2,,4,5,-,-,-,2,6,18,22,7,11,27,39,69%
Roger Cañas 88,"93'19""",,-,3,1,2,-,2,5,2,11,,4,-,-,-,6,9,16,18,8,12,30,39,77%
Junior Kabananga 89,"79'49""",,-,-,-,2,2,-,1,-,1,-,,-,-,-,0,1,3,5,3,6,6,12,50%
Georgi Zhukov 8,"16'08""",,-,-,-,-,-,-,-,-,-,-,-,,-,-,0,1,0,0,0,0,0,1,0%
Aleksei Schetkin 9,"13'30""",,-,-,-,1,-,-,-,-,-,-,-,1,,-,0,0,1,1,1,3,2,4,50%
Abzal Beysebekov 15,"4'07""",,-,-,1,-,-,-,-,-,-,-,-,-,-,,0,0,0,1,1,1,1,2,50%
Total passes received:,,,10,18,16,18,14,11,25,14,29,20,18,2,4,0,32,61,120,151,47,72,199,284,70%
