per Schmeichel 1,"94'07""",,,2,2,-,-,1,2,-,6,1,-,-,13,30,1,1,0,0,14,31,45%
Luis Hernandez 2,"94'07""",,1,,7,3,-,-,1,4,6,6,-,-,1,2,15,19,12,15,28,36,78%
anny Drinkwater 4,"94'07""",,-,5,,5,2,1,1,4,7,8,13,4,6,15,28,32,16,17,50,64,78%
Wes Morgan 5,"94'07""",,3,2,5,,2,-,1,1,3,1,-,-,5,6,5,8,8,9,18,23,78%
Robert Huth 6,"94'07""",,6,1,4,2,,-,2,2,-,1,5,-,3,8,16,16,4,4,23,28,82%
Ahmed Musa 7,"94'07""",,-,-,2,-,-,,3,2,4,5,4,-,1,3,8,12,11,13,20,28,71%
Jamie Vardy 9,"94'07""",,-,-,2,-,-,2,,-,1,4,1,1,0,0,6,10,5,9,11,19,58%
Daniel Amartey 13,"94'07""",,1,3,7,1,3,3,4,,4,3,5,-,2,3,24,26,8,8,34,37,92%
Jeff Schlupp 15,"71'46""",,-,3,7,1,1,5,-,5,,4,3,-,1,2,14,16,14,16,29,34,85%
Riyad Mahrez 26,"94'07""",,-,8,9,-,-,7,3,2,5,,2,-,0,0,14,20,22,27,36,47,77%
Christian Fuchs 28,"94'07""",,4,1,7,-,6,6,3,2,4,3,,1,6,12,21,28,10,13,37,53,70%
Shinji Okazaki 20,"22'21""",,-,-,2,-,-,-,-,-,-,3,1,,0,0,3,3,3,4,6,7,86%
Total passes received:,,,15,25,54,12,14,25,20,22,40,39,34,6,38,81,155,191,113,135,306,407,75%
