"?ukasz Fabia?ski 21","94'11""",,,3,2,3,1,5,-,2,1,2,3,-,-,14,26,7,10,1,1,22,37,59%
Per Mertesacker 4,"94'11""",,2,,6,3,7,2,-,5,2,11,2,2,-,7,9,30,34,5,5,42,48,88%
aurent Koscielny 6,"94'11""",,1,4,,4,3,1,1,5,7,-,3,-,1,2,4,24,33,4,8,30,45,67%
Tomáš Rosický 7,"94'11""",,-,-,3,,1,-,4,2,4,3,1,1,1,2,4,14,22,4,9,20,35,57%
Mikel Arteta 8,"94'11""",,1,6,5,3,,-,1,1,1,6,3,2,-,6,9,17,23,6,8,29,40,72%
Olivier Giroud 12,"94'11""",,-,1,-,2,-,,-,-,1,1,-,-,-,1,3,1,11,3,8,5,22,23%
Theo Walcott 14,"72'24""",,-,-,1,2,-,1,,3,2,1,-,-,-,0,1,5,8,5,9,10,18,56%
Aaron Ramsey 16,"72'12""",,2,3,-,3,4,4,1,,4,5,3,-,-,3,5,16,27,10,15,29,47,62%
Santi Cazorla 19,"94'11""",,-,4,2,4,3,1,2,5,,2,3,-,3,5,6,17,26,7,15,29,47,62%
Carl Jenkinson 25,"94'11""",,1,7,-,4,7,3,4,9,2,,-,2,-,3,7,24,30,12,17,39,54,72%
Kieran Gibbs 28,"94'11""",,2,-,4,3,2,4,-,3,6,-,,1,1,2,3,18,29,6,11,26,43,60%
ade-Chamberlain 15,"21'47""",,-,1,-,1,-,-,-,-,-,3,-,,2,0,0,7,11,0,0,7,11,64%
Gervinho 27,"21'59""",,-,-,-,3,1,-,-,-,1,1,1,1,,0,0,5,6,3,3,8,9,89%
Total passes received:,,,9,29,23,35,29,21,13,35,31,35,19,9,8,45,77,185,270,66,109,296,456,65%
