Manuel Neuer 1,"94'11""",,,4,4,-,3,1,1,3,-,-,1,1,-,7,12,11,12,0,0,18,24,75%
Dante 4,"94'11""",,7,,8,4,2,3,4,1,4,2,11,-,-,12,18,31,36,3,3,46,57,81%
Daniel Van Buyten 5,"94'11""",,7,10,,6,1,4,11,7,3,4,3,-,-,9,10,44,44,3,6,56,60,93%
Javi Martínez 8,"94'11""",,-,1,6,,1,2,6,2,2,-,7,-,-,1,2,19,28,7,11,27,41,66%
Mario Mandžuki? 9,"73'12""",,-,-,-,1,,3,6,3,-,1,3,-,-,0,0,10,14,7,12,17,26,65%
Arjen Robben 10,"94'11""",,-,-,2,-,3,,8,3,3,-,5,-,1,0,4,20,29,5,9,25,42,60%
Philipp Lahm 21,"94'11""",,-,10,14,2,1,6,,7,5,6,8,-,-,4,6,47,58,8,15,59,79,75%
Thomas Müller 25,"94'11""",,-,-,1,3,2,6,4,,1,-,2,-,-,1,1,12,23,6,17,19,41,46%
David Alaba 27,"94'11""",,5,8,1,1,3,3,3,2,,2,6,1,-,7,10,22,30,6,10,35,50,70%
Luiz Gustavo 30,"94'11""",,1,3,3,2,3,-,6,2,2,,3,-,-,2,4,17,21,6,9,25,34,74%
Toni Kroos 39,"81'17""",,-,5,5,4,4,7,6,3,6,2,,2,-,4,9,32,41,8,14,44,64,69%
Mario Gomez 33,"20'59""",,-,-,-,1,-,1,-,2,-,-,-,,-,0,0,2,4,2,2,4,6,67%
natoliy Tymoshchuk 44,"12'54""",,-,-,-,-,-,-,-,-,-,-,-,-,,0,0,0,0,0,0,0,0,0%
Total passes received:,,,20,41,44,24,23,36,55,35,26,17,49,4,1,47,76,267,340,61,108,375,524,72%
