Claudio Bravo 1,"93'09""",,,-,-,-,6,1,-,1,6,1,4,1,5,5,12,13,3,3,20,21,95%
aheem Sterling 7,"68'54""",,-,,5,5,5,15,9,1,3,2,5,-,0,0,25,29,25,25,50,54,93%
"?lkay Gündo?an 8","93'09""",,-,5,,2,18,4,9,9,13,9,9,3,4,5,64,66,13,13,81,84,96%
Sergio Agüero 10,"93'09""",,-,2,2,,6,1,3,4,2,-,1,-,3,3,11,12,7,9,21,24,88%
sandar Kolarov 11,"93'09""",,2,7,6,5,,2,7,10,28,3,11,-,6,7,66,68,9,11,81,86,94%
Jesús Navas 15,"93'09""",,-,13,1,1,-,,8,11,6,8,11,5,3,7,47,51,14,17,64,75,85%
evin De Bruyne 17,"93'09""",,-,8,15,1,7,6,,6,6,2,12,1,4,4,38,38,22,26,64,68,94%
David Silva 21,"93'09""",,-,3,6,4,9,9,6,,12,4,5,1,1,1,44,48,14,15,59,64,92%
John Stones 24,"93'09""",,2,-,23,4,16,5,6,12,,19,23,2,7,7,98,100,7,8,112,115,97%
Fernandinho 25,"63'43""",,-,9,8,3,6,8,8,9,8,,4,-,7,8,51,52,5,5,63,65,97%
icolás Otamendi 30,"93'09""",,4,8,12,3,7,15,6,4,19,13,,5,7,8,82,84,7,9,96,101,95%
Bacary Sagna 3,"24'15""",,-,-,4,1,2,5,1,1,2,-,2,,1,1,15,16,2,2,18,19,95%
Total passes received:,,,8,55,82,29,82,71,63,68,105,61,87,18,48,56,553,577,128,143,729,776,94%
