Willy Caballero 13,"93'01""",,,5,-,2,4,1,2,1,2,9,6,-,12,17,18,18,2,2,32,37,86%
Bacary Sagna 3,"93'01""",,1,,14,2,1,6,-,7,1,15,8,-,2,4,43,49,10,11,55,64,86%
aheem Sterling 7,"93'01""",,-,8,,3,-,6,-,10,2,-,-,-,0,1,10,13,19,23,29,37,78%
Sergio Agüero 10,"93'01""",,-,3,4,,1,1,2,5,-,-,3,-,0,1,14,17,5,8,19,26,73%
sandar Kolarov 11,"93'01""",,6,4,3,3,,2,4,2,8,10,3,-,6,8,31,36,8,8,45,52,87%
evin De Bruyne 17,"93'01""",,-,9,6,1,7,,2,5,4,2,3,-,4,8,29,34,6,9,39,51,76%
Leroy Sané 19,"93'01""",,-,-,-,1,1,1,,5,11,-,3,-,0,0,15,18,7,8,22,26,85%
David Silva 21,"93'01""",,-,9,10,3,2,3,7,,5,2,4,-,0,2,24,30,21,24,45,56,80%
Gaël Clichy 22,"83'13""",,1,2,-,3,4,7,10,8,,2,6,-,4,7,32,35,7,8,43,50,86%
John Stones 24,"93'01""",,10,9,2,2,10,12,2,2,3,,15,-,8,10,52,54,7,7,67,71,94%
Fernandinho 25,"93'01""",,5,4,1,8,8,4,3,7,5,13,,-,4,6,47,49,7,9,58,64,91%
lechi Iheanacho 72,"9'48""",,-,-,-,-,-,-,-,-,-,-,-,,0,0,0,0,0,0,0,0,0%
Total passes received:,,,23,53,40,28,38,43,32,52,41,53,51,0,40,64,315,353,99,117,454,534,85%
