Manuel Neuer 1,"94'30""",,,7,2,3,1,5,2,2,2,3,1,2,-,1,12,22,18,19,1,1,31,42,74%
Dante 4,"94'30""",,4,,6,1,1,10,4,1,2,5,20,3,-,-,3,7,40,45,14,16,57,68,84%
Javi Martínez 8,"80'15""",,1,7,,3,9,11,2,1,3,5,4,7,-,-,2,3,37,42,14,17,53,62,85%
Arjen Robben 10,"94'30""",,-,1,4,,8,2,2,1,3,-,12,4,1,-,0,2,23,31,15,17,38,50,76%
Rafinha 13,"94'30""",,6,4,8,14,,10,3,2,6,1,5,12,-,-,4,9,41,48,26,30,71,87,82%
Jérôme Boateng 17,"94'30""",,6,10,5,3,15,,1,2,3,3,-,4,2,-,6,13,42,46,6,7,54,66,82%
Mario Götze 19,"88'36""",,-,3,3,5,3,2,,-,4,10,18,12,1,-,2,5,32,40,27,27,61,72,85%
Philipp Lahm 21,"27'57""",,-,-,-,2,5,1,1,,1,1,2,-,-,-,2,2,7,8,4,6,13,16,81%
Thomas Müller 25,"94'30""",,1,-,3,2,5,1,6,1,,6,9,5,2,-,1,1,25,33,15,20,41,54,76%
David Alaba 27,"94'30""",,1,11,6,-,-,-,9,-,10,,10,5,2,1,1,1,29,37,25,32,55,70,79%
Toni Kroos 39,"94'30""",,-,2,7,11,11,4,20,4,12,11,,11,-,-,11,14,54,62,28,37,93,113,82%
Thiago Alcántara 6,"66'33""",,-,3,5,8,7,3,11,-,7,4,13,,1,-,5,5,43,48,14,18,62,71,87%
Jan Kirchhoff 15,"14'15""",,1,-,-,-,-,1,2,-,-,1,3,3,,-,0,0,7,8,4,5,11,13,85%
Julian Green 37,"5'54""",,-,-,-,-,-,-,-,-,-,-,-,1,-,,0,2,1,1,0,1,1,4,25%
Total passes received:,,,20,48,49,52,65,50,63,14,53,50,97,69,9,2,49,86,399,468,193,234,641,788,81%
