Gianluigi Buffon 1,"95'35""",,,3,1,1,-,12,1,-,-,1,1,-,1,6,11,14,14,1,2,21,27,78%
Giorgio Chiellini 3,"95'35""",,1,,5,1,-,3,12,11,10,9,-,-,-,7,9,34,48,11,13,52,70,74%
Paul Pogba 6,"95'35""",,-,2,,4,2,1,1,4,9,1,1,-,1,1,4,15,22,10,14,26,40,65%
Mirko Vu?ini? 9,"89'26""",,-,1,3,,6,-,-,3,2,1,3,-,-,2,6,11,17,6,11,19,34,56%
bastian Giovinco 12,"93'34""",,-,-,2,3,,1,-,1,5,1,2,-,-,4,4,7,14,4,6,15,24,62%
Andrea Barzagli 15,"95'35""",,1,8,1,2,2,,5,5,2,7,14,-,-,8,15,34,38,5,7,47,60,78%
eonardo Bonucci 19,"95'35""",,2,6,2,3,1,8,,6,1,5,-,-,-,7,8,24,32,3,5,34,45,76%
Andrea Pirlo 21,"95'35""",,-,6,5,6,2,4,8,,5,7,2,-,-,6,11,28,36,11,15,45,62,73%
wadwo Asamoah 22,"95'35""",,-,8,7,4,5,-,1,5,,3,-,1,-,2,5,22,26,10,17,34,48,71%
Arturo Vidal 23,"95'35""",,-,4,3,3,1,8,5,8,4,,7,-,-,6,8,29,38,8,13,43,59,73%
phan Lichtsteiner 26,"95'35""",,1,-,1,8,4,9,-,1,-,5,,-,-,5,8,18,34,6,7,29,49,59%
nuele Giaccherini 24,"2'01""",,-,-,-,-,-,-,-,-,-,-,-,,-,0,0,0,2,0,0,0,2,0%
Alessandro Matri 32,"6'09""",,-,-,-,-,-,-,-,-,-,-,1,-,,0,0,0,1,1,1,1,2,50%
Total passes received:,,,5,38,30,35,23,46,33,44,38,40,31,1,2,54,89,236,322,76,111,366,522,70%
