Fraser Forster 1,"91'18""",,,-,-,1,1,-,4,1,1,-,-,-,-,1,9,18,0,0,0,2,9,20,45%
Adam Matthews 2,"81'34""",,2,,1,4,2,2,2,5,4,3,2,-,-,1,4,5,16,26,8,12,28,43,65%
Efe Ambrose 4,"91'18""",,2,1,,-,2,3,1,-,2,1,6,-,-,-,3,3,12,18,3,3,18,24,75%
Virgil van Dijk 5,"91'18""",,2,6,3,,1,-,4,-,3,1,-,-,1,1,3,9,16,20,3,5,22,34,65%
Nir Biton 6,"69'01""",,-,1,2,1,,1,-,4,1,2,4,-,-,-,0,0,14,15,2,5,16,20,80%
Scott Brown 8,"91'18""",,3,3,2,3,-,,2,1,3,-,5,2,2,2,4,5,13,15,11,13,28,33,85%
iorgios Samaras 9,"91'18""",,-,2,-,1,-,6,,-,3,-,-,1,-,5,0,1,9,19,9,14,18,34,53%
Derk Boerrigter 11,"91'18""",,2,5,-,-,-,-,1,,1,1,-,1,-,2,0,1,10,16,3,5,13,22,59%
Joe Ledley 16,"91'18""",,1,3,2,7,2,1,3,3,,1,1,-,1,4,2,3,19,24,8,11,29,38,76%
Teemu Pukki 20,"45'05""",,-,2,-,-,-,2,4,-,-,,-,-,-,-,0,1,3,5,5,5,8,11,73%
Mikael Lustig 23,"91'18""",,1,-,3,4,6,6,-,2,3,1,,-,5,5,4,5,20,23,12,17,36,45,80%
Anthony Stokes 10,"9'44""",,-,-,-,-,-,-,1,1,-,-,-,,1,-,0,1,2,2,1,2,3,5,60%
Kris Commons 15,"22'17""",,-,-,-,-,-,-,3,-,-,-,1,-,,1,1,1,3,6,1,4,5,11,45%
Charlie Mulgrew 21,"46'13""",,-,4,-,-,1,2,2,-,3,-,2,1,2,,3,4,11,16,3,4,17,24,71%
Total passes received:,,,13,27,13,21,15,23,27,17,24,10,21,5,12,22,33,57,148,205,69,102,250,364,69%
