Diego López 41,"98'11""",,,2,10,5,2,3,2,3,1,1,-,1,1,-,13,16,16,16,2,2,31,34,91%
Raphaël Varane 2,"98'11""",,6,,9,1,4,3,6,9,9,-,3,1,-,1,5,7,41,50,6,7,52,64,81%
Sergio Ramos 4,"98'11""",,4,11,,6,6,2,7,6,16,1,9,1,-,3,10,14,47,57,15,19,72,90,80%
Fábio Coentrão 5,"58'39""",,1,-,6,,9,4,5,1,2,1,1,-,-,-,3,5,17,22,10,15,30,42,71%
Cristiano Ronaldo 7,"98'11""",,-,-,1,5,,3,3,2,3,1,2,-,1,2,0,2,16,25,7,16,23,43,53%
Mesut Özil 10,"98'11""",,-,1,4,3,12,,1,8,7,3,10,1,5,12,7,11,37,47,23,32,67,90,74%
Xabi Alonso 14,"69'05""",,-,4,9,5,3,7,,2,7,3,1,-,-,-,3,4,27,36,11,13,41,53,77%
Michael Essien 15,"98'11""",,2,12,-,-,1,14,2,,12,6,14,2,1,2,3,6,47,56,18,22,68,84,81%
Luka Modri? 19,"98'11""",,2,2,6,2,6,14,7,14,,-,11,5,4,1,10,16,41,51,23,26,74,93,80%
Gonzalo Higuaín 20,"58'53""",,-,-,1,-,-,3,1,3,-,,2,-,-,-,1,1,4,10,5,10,10,21,48%
"Ángel Di María 22","98'11""",,-,-,5,1,4,7,-,3,7,6,,-,4,1,6,13,23,39,9,13,38,65,58%
Sami Khedira 6,"29'06""",,1,-,2,-,1,2,-,6,2,-,2,,2,-,0,0,11,13,7,8,18,21,86%
Kaká 8,"39'32""",,-,-,1,-,3,2,-,1,1,-,3,3,,1,2,3,8,10,5,6,15,19,79%
Karim Benzema 9,"39'18""",,-,-,2,-,2,8,-,1,1,-,-,-,2,,1,1,5,6,10,11,16,18,89%
Total passes received:,,,16,32,56,28,53,72,34,59,68,22,58,14,20,23,64,99,340,438,151,200,555,737,75%
