Gianluigi Buffon 1,"96'12""",,,5,-,-,-,2,6,3,-,-,1,-,-,-,0,0,15,15,2,3,17,18,94%
Giorgio Chiellini 3,"96'12""",,1,,6,2,9,5,11,26,11,5,2,-,3,1,7,11,62,71,13,19,82,101,81%
Paul Pogba 6,"96'12""",,-,3,,-,5,1,2,2,2,1,-,-,3,-,2,5,11,19,6,17,19,41,46%
Mirko Vu?ini? 9,"25'17""",,-,1,-,,1,-,-,1,-,1,1,-,-,-,0,0,3,6,2,2,5,8,62%
Carlos Tévez 10,"96'12""",,-,4,3,1,,-,-,1,5,11,-,2,5,3,4,5,24,30,7,14,35,49,71%
Andrea Barzagli 15,"96'12""",,5,9,-,1,4,,12,4,1,5,4,1,-,10,6,7,43,45,7,7,56,59,95%
Leonardo Bonucci 19,"69'39""",,-,12,2,1,-,14,,6,4,2,1,-,-,1,4,10,38,39,1,1,43,50,86%
Andrea Pirlo 21,"96'12""",,2,6,8,2,7,7,4,,12,19,2,-,5,1,12,20,58,69,5,6,75,95,79%
Kwadwo Asamoah 22,"96'12""",,1,11,10,-,3,2,2,5,,-,1,1,2,-,5,6,17,23,16,23,38,52,73%
Arturo Vidal 23,"96'12""",,-,-,4,2,12,3,1,6,2,,10,3,2,8,4,9,39,48,10,15,53,72,74%
Stephan Lichtsteiner 26,"47'06""",,-,-,-,-,6,6,1,4,2,7,,-,1,-,1,2,20,27,6,6,27,35,77%
Fernando Llorente 14,"26'33""",,-,-,-,-,1,1,-,1,-,-,-,,-,-,0,0,2,5,1,4,3,9,33%
Fabio Quagliarella 27,"70'55""",,-,-,2,-,6,-,-,3,2,1,1,1,,-,1,3,6,8,9,9,16,20,80%
Mauricio Isla 33,"49'06""",,1,4,-,-,3,3,-,4,-,11,-,1,1,,3,4,18,22,7,10,28,36,78%
Total passes received:,,,10,55,35,9,57,44,39,66,41,63,23,9,22,24,49,82,356,427,92,136,497,645,77%
