Rafael Cabral 1,"93'12""",,,-,-,1,1,1,1,5,2,4,-,-,4,13,9,10,2,2,15,25,60%
José Callejón 7,"93'12""",,-,,4,-,2,2,3,1,8,4,3,4,3,4,21,25,7,16,31,45,69%
Gonzalo Higuaín 9,"93'12""",,-,3,,3,1,2,2,2,2,1,1,-,3,3,7,13,7,8,17,24,71%
Christian Maggio 11,"93'12""",,-,-,2,,11,3,2,14,-,1,9,-,0,2,31,37,11,21,42,60,70%
Dries Mertens 14,"93'12""",,-,-,-,9,,2,-,2,1,1,9,1,3,12,13,20,9,15,25,47,53%
Goran Pandev 19,"56'28""",,-,-,2,-,2,,3,-,-,-,1,-,0,1,5,7,3,7,8,15,53%
Blerim Dzemaili 20,"93'12""",,1,3,2,4,1,2,,5,7,14,2,5,8,14,27,39,11,18,46,71,65%
Federico Fernández 21,"93'12""",,4,5,2,13,5,-,7,,3,10,6,1,8,18,38,45,10,12,56,75,75%
Pablo Armero 27,"93'12""",,1,11,3,-,2,3,7,-,,11,4,6,4,8,24,40,20,22,48,70,69%
Raúl Albiol 33,"93'12""",,3,8,3,3,1,-,12,10,12,,10,1,11,15,45,68,7,10,63,93,68%
Valon Behrami 85,"93'12""",,-,2,1,5,6,3,10,10,3,10,,-,0,0,43,47,7,15,50,62,81%
Lorenzo Insigne 24,"36'44""",,-,1,3,-,-,-,5,-,6,1,-,,0,0,9,13,7,9,16,22,73%
Total passes received:,,,9,33,22,38,32,18,52,49,44,57,45,18,44,90,272,364,101,155,417,609,68%
