Pepe Reina 25,"93'15""",,,1,-,-,-,2,2,3,4,7,2,-,-,5,12,13,13,3,3,21,28,75%
Elseid Hysaj 2,"93'15""",,-,,9,1,-,7,1,-,-,5,11,5,-,0,0,18,20,21,23,39,43,91%
José Callejón 7,"93'15""",,1,6,,4,3,7,2,-,-,5,3,-,-,1,2,14,14,16,19,31,35,89%
Dries Mertens 14,"93'15""",,-,1,5,,1,2,5,-,3,-,7,1,-,0,0,8,12,17,20,25,32,78%
Marek Hamšík 17,"83'10""",,2,2,3,2,,3,27,6,14,3,14,-,-,3,5,41,45,32,33,76,83,92%
Piotr Zieli?ski 20,"74'21""",,1,9,6,3,8,,2,1,1,4,8,-,-,2,4,23,26,18,19,43,49,88%
Lorenzo Insigne 24,"93'15""",,-,2,4,5,27,3,,4,11,2,18,1,1,3,4,34,39,41,44,78,87,90%
alidou Koulibaly 26,"93'15""",,4,1,1,1,7,2,4,,5,4,3,1,-,2,3,23,27,8,9,33,39,85%
aouzi Ghoulam 31,"93'15""",,-,-,-,2,11,-,21,1,,-,10,-,-,1,1,24,27,20,21,45,49,92%
Raúl Albiol 33,"93'15""",,1,2,2,-,2,7,3,10,4,,13,-,-,5,5,30,32,9,10,44,47,94%
madou Diawara 42,"93'15""",,-,3,6,15,19,12,17,5,7,7,,5,1,6,7,46,53,45,47,97,107,91%
Allan 5,"18'54""",,-,4,2,2,-,-,2,1,-,1,4,,1,0,1,10,11,7,7,17,19,89%
Arkadiusz Milik 99,"10'05""",,-,-,-,1,-,-,-,-,-,-,-,-,,0,0,0,3,1,1,1,4,25%
Total passes received:,,,9,31,38,36,78,45,86,31,49,38,93,13,3,28,44,284,322,238,256,550,622,88%
