David Ospina 13,"92'16""",,,1,2,8,-,1,-,1,2,-,9,1,-,2,7,16,19,19,1,1,27,36,75%
Kieran Gibbs 3,"92'16""",,2,,-,9,7,3,2,7,1,18,11,1,1,1,3,4,40,43,20,22,63,69,91%
Gabriel 5,"92'16""",,-,1,,-,3,3,7,6,12,-,8,-,4,4,2,2,29,33,17,18,48,53,91%
urent Koscielny 6,"92'16""",,4,20,4,,-,8,1,12,14,6,10,-,-,3,8,9,63,63,11,11,82,83,99%
Alexis Sánchez 7,"69'11""",,-,5,3,1,,3,3,6,1,1,3,-,-,-,1,1,16,19,9,14,26,34,76%
Aaron Ramsey 8,"69'21""",,1,6,8,5,6,,2,7,4,7,11,-,-,-,1,2,34,38,22,25,57,65,88%
Lucas Pérez 9,"92'16""",,-,-,4,-,1,3,,3,1,4,4,1,-,1,1,1,12,19,9,11,22,31,71%
Mesut Özil 11,"73'24""",,1,8,3,4,12,7,2,,2,3,11,1,-,-,3,4,36,39,15,20,54,63,86%
Rob Holding 16,"92'16""",,5,3,10,21,1,3,2,2,,2,12,2,1,4,6,9,54,54,8,9,68,72,94%
Alex Iwobi 17,"92'16""",,-,10,1,5,1,8,5,3,4,,10,1,-,3,1,1,30,33,20,24,51,58,88%
Granit Xhaka 29,"92'16""",,2,10,8,15,5,15,6,14,9,15,,1,-,9,5,8,69,72,35,36,109,116,94%
Olivier Giroud 12,"22'55""",,-,1,-,-,-,-,-,-,-,1,1,,-,3,0,0,3,4,3,5,6,9,67%
Theo Walcott 14,"18'52""",,-,-,2,-,-,-,-,-,-,-,-,-,,2,0,0,3,3,1,2,4,5,80%
ohamed Elneny 35,"23'05""",,1,1,6,1,-,-,2,1,4,3,13,1,-,,2,2,22,23,9,9,33,34,97%
Total passes received:,,,16,66,51,69,36,54,32,62,54,60,103,9,6,32,40,59,430,462,180,207,650,728,89%
