Manuel Neuer 1,"94'02""",,,10,1,-,1,1,4,5,2,3,1,-,-,2,7,9,22,23,1,1,30,33,91%
Dante 4,"94'02""",,6,,13,1,1,2,11,14,1,11,2,-,-,1,13,14,46,52,4,9,63,75,84%
Franck Ribéry 7,"94'02""",,-,3,,7,6,5,-,7,5,25,15,1,2,8,3,5,51,67,30,34,84,106,79%
Mario Mandžuki? 9,"75'17""",,-,1,7,,4,2,-,-,3,4,2,-,-,1,0,0,15,18,9,13,24,31,77%
Arjen Robben 10,"79'56""",,-,-,10,1,,10,2,3,2,4,9,-,-,-,3,5,19,27,19,20,41,52,79%
Rafinha 13,"94'02""",,5,2,7,6,12,,10,9,7,2,8,1,1,4,10,11,43,49,21,24,74,84,88%
Jérôme Boateng 17,"94'02""",,8,8,6,3,5,8,,15,5,8,4,-,-,-,13,15,49,53,8,9,70,77,91%
Philipp Lahm 21,"94'02""",,1,12,3,2,9,15,15,,5,6,12,4,1,8,4,4,74,78,15,17,93,99,94%
Thomas Müller 25,"94'02""",,-,1,3,3,5,10,4,7,,1,2,3,-,4,3,3,30,39,10,11,43,53,81%
David Alaba 27,"94'02""",,5,16,21,4,5,3,6,6,3,,20,-,1,8,9,11,57,63,32,34,98,108,91%
Toni Kroos 39,"71'48""",,-,4,16,3,10,7,8,13,6,10,,-,-,-,6,6,56,59,15,15,77,80,96%
Xherdan Shaqiri 11,"14'06""",,-,1,3,-,-,1,1,1,2,1,-,,-,3,1,1,7,7,5,6,13,14,93%
Claudio Pizarro 14,"18'45""",,-,-,1,-,-,-,-,2,-,-,-,1,,2,0,0,4,5,2,4,6,9,67%
stian Schweinsteiger 31,"22'14""",,-,1,7,1,-,1,1,4,5,8,-,3,6,,1,2,27,28,9,11,37,41,90%
Total passes received:,,,25,59,98,31,58,65,62,86,46,83,75,13,11,41,73,86,500,568,180,208,753,862,87%
