Jan Oblak 13,"95'26""",,,-,-,3,-,-,2,-,2,3,1,-,-,-,10,19,1,1,0,0,11,20,55%
Diego Godín 2,"95'26""",,3,,-,2,4,-,-,1,-,1,3,-,1,1,2,5,13,16,1,2,16,23,70%
Koke 6,"68'28""",,-,1,,6,2,4,4,1,2,5,2,-,-,-,1,2,15,19,11,13,27,34,79%
oine Griezmann 7,"95'26""",,-,2,7,,7,1,6,-,3,4,7,1,1,-,2,3,20,22,17,20,39,45,87%
Saúl Ñíguez 8,"95'26""",,-,1,2,10,,1,3,1,-,4,2,2,1,1,0,1,12,16,16,18,28,35,80%
nnick Carrasco 10,"60'32""",,-,-,3,1,1,,-,-,1,-,1,-,-,-,0,0,3,6,4,6,7,12,58%
Gabi 14,"95'26""",,-,3,4,4,5,-,,4,5,2,1,3,2,3,4,6,21,23,11,13,36,42,86%
Stefan Savi? 15,"95'26""",,2,3,1,-,-,1,1,,-,3,1,-,1,-,3,3,8,9,2,2,13,14,93%
"Šime Vrsaljko 16","95'26""",,3,-,5,1,-,2,2,3,,-,-,-,-,2,4,4,5,6,9,9,18,19,95%
cas Hernández 19,"95'26""",,1,3,2,4,3,2,3,-,-,,2,1,1,1,2,2,11,13,10,14,23,29,79%
Nicolás Gaitán 23,"60'28""",,-,-,2,5,3,2,2,-,-,4,,-,-,-,0,0,6,7,12,13,18,20,90%
"Ángel Correa 11","34'58""",,-,-,-,-,1,-,1,-,-,-,-,,2,-,0,1,2,5,2,3,4,9,44%
Kevin Gameiro 21,"34'54""",,-,-,-,-,-,-,-,-,-,1,-,1,,3,0,0,0,1,5,5,5,6,83%
Thomas Partey 22,"26'58""",,-,-,-,1,1,-,2,-,3,1,-,1,1,,1,2,6,6,3,3,10,11,91%
Total passes received:,,,9,13,26,37,27,13,26,10,16,28,20,9,10,11,29,48,123,150,103,121,255,319,80%
