Predrag Rajkovi? 95,"94'40""",,,-,2,3,-,-,2,1,5,4,1,-,-,-,8,20,7,7,3,3,18,30,60%
Gal Alberman 6,"94'40""",,1,,2,6,3,3,2,3,4,7,3,-,-,2,3,3,24,26,9,9,36,38,95%
Eran Zahavi 7,"94'40""",,-,-,,1,2,1,2,6,-,-,3,-,-,1,1,1,7,13,8,12,16,26,62%
Tal Ben Haim II 11,"83'48""",,-,3,2,,3,5,1,1,-,-,1,-,2,-,2,2,9,11,7,8,18,21,86%
Dor Miha 15,"72'47""",,1,-,2,1,,-,3,1,-,-,5,-,2,-,0,3,11,15,4,5,15,23,65%
Eytan Tibi 18,"94'40""",,2,3,1,3,-,,-,1,2,5,1,-,2,2,4,5,14,15,4,4,22,24,92%
Omri Ben Harush 20,"94'40""",,1,4,2,1,7,-,,2,2,2,6,-,1,1,1,3,23,27,5,9,29,39,74%
Nikola Mitrovi? 24,"55'42""",,1,4,2,3,1,3,3,,2,3,-,-,-,-,4,5,12,13,6,8,22,26,85%
Tal Ben Haim I 26,"94'40""",,-,2,1,2,1,-,3,4,,10,2,2,-,-,5,7,16,16,6,6,27,29,93%
Carlos García 31,"94'40""",,8,4,-,2,-,1,12,-,5,,3,1,-,-,2,2,30,31,4,4,36,37,97%
Dor Peretz 42,"94'40""",,-,4,4,1,2,3,5,1,1,1,,-,2,2,2,5,12,13,12,14,26,32,81%
Barak Itzhaki 10,"10'52""",,-,-,-,-,-,-,-,-,-,-,1,,1,-,0,0,1,1,1,1,2,2,100
Avraham Rikan 22,"38'58""",,-,1,1,2,1,2,-,-,-,1,-,-,,1,3,4,4,4,2,2,9,10,90%
Gil Vermouth 28,"21'53""",,-,3,1,1,-,2,1,-,-,-,-,-,-,,0,0,5,5,3,5,8,10,80%
Total passes received:,,,14,28,20,26,20,20,34,20,21,33,26,3,10,9,35,60,175,197,74,90,284,347,82%
