Thibaut Courtois 13,"94'02""",,,-,1,-,-,-,1,3,-,1,-,-,-,-,3,14,3,4,0,0,6,18,33%
Diego Godín 2,"94'02""",,-,,5,-,1,3,1,2,-,-,1,-,-,-,1,4,10,13,2,2,13,19,68%
Filipe Luis 3,"94'02""",,-,1,,4,9,16,7,11,7,-,1,-,-,-,3,6,24,29,29,33,56,68,82%
Mario Suárez 4,"94'02""",,-,-,5,,5,6,2,3,2,6,-,-,-,-,3,6,17,26,9,13,29,45,64%
Koke 6,"89'31""",,-,3,17,8,,6,3,7,4,3,1,-,-,-,3,6,24,32,25,28,52,66,79%
Adrián López 7,"79'25""",,-,1,9,1,13,,5,3,2,2,2,-,-,-,1,1,20,29,17,21,38,51,75%
David Villa 9,"94'02""",,-,-,4,-,4,6,,4,1,3,-,-,1,-,0,0,14,19,9,13,23,32,72%
Arda Turan 10,"87'02""",,-,2,4,3,9,7,2,,11,9,-,-,-,2,5,6,21,28,23,31,49,65,75%
Gabi 14,"94'02""",,-,-,3,1,3,2,2,10,,7,4,1,-,-,3,4,17,25,13,17,33,46,72%
Juanfran 20,"94'02""",,-,1,-,4,5,2,5,19,6,,1,-,-,-,4,6,24,33,15,21,43,60,72%
Miranda 23,"94'02""",,1,3,1,1,1,-,-,1,4,2,,-,-,-,1,3,7,14,6,6,14,23,61%
Raúl García 8,"7'00""",,-,-,-,-,-,-,1,-,-,-,-,,-,-,0,1,1,2,0,0,1,3,33%
Cristian Rodríguez 11,"4'31""",,-,-,-,-,-,-,-,-,-,-,-,-,,1,0,0,1,1,0,0,1,1,100
Léo Baptistão 21,"14'37""",,-,-,-,1,-,-,1,1,-,-,-,-,-,,0,0,2,2,1,1,3,3,100
Total passes received:,,,1,11,49,23,50,48,30,64,37,33,10,1,1,3,27,57,185,257,149,186,361,500,72%
