Andriy Pyatov 30,"94'08""",,,2,3,7,3,-,2,-,-,-,-,-,7,23,10,12,0,1,17,36,47%
máš Hübschman 3,"94'08""",,1,,6,12,-,6,3,5,3,6,9,-,2,4,40,46,9,12,51,62,82%
Olexandr Kucher 5,"94'08""",,7,10,,3,-,2,1,3,5,20,13,1,7,10,50,53,8,12,65,75,87%
Fernandinho 7,"94'08""",,1,12,9,,3,10,4,4,10,13,3,-,8,11,48,58,13,18,69,87,79%
Luiz Adriano 9,"94'08""",,-,-,-,3,,2,3,-,2,1,1,-,0,0,7,9,5,8,12,17,71%
Willian 10,"94'08""",,1,4,1,11,1,,5,6,4,5,2,1,7,12,25,34,9,16,41,62,66%
enrik Mkhitaryan 22,"94'08""",,1,1,-,3,-,10,,2,6,1,-,-,2,5,10,16,12,16,24,37,65%
R?zvan Ra? 26,"94'08""",,3,8,3,2,1,9,3,,1,-,8,-,6,7,26,36,6,7,38,50,76%
Alex Teixeira 29,"84'12""",,-,2,1,8,2,3,1,-,,16,1,-,1,1,20,24,13,20,34,45,76%
Darijo Srna 33,"94'08""",,1,2,18,15,1,3,6,4,8,,1,1,5,15,41,47,14,18,60,80,75%
aroslav Rakitskiy 44,"94'08""",,3,4,10,2,1,5,1,6,1,6,,-,7,12,26,34,6,10,39,56,70%
Ilsinho 77,"9'56""",,-,-,-,-,-,1,-,-,-,-,-,,0,0,0,2,1,1,1,3,33%
Total passes received:,,,18,45,51,66,12,51,29,30,40,68,38,3,52,100,303,371,96,139,451,610,74%
