Petr ?ech 1,"96'09""",,,-,-,-,-,-,-,2,1,2,2,-,-,-,3,3,3,5,1,1,7,9,78%
Branislav Ivanovi? 2,"96'09""",,-,,-,4,10,3,2,6,6,3,9,2,-,1,2,4,33,40,11,14,46,58,79%
Ashley Cole 3,"64'09""",,-,-,,5,5,1,2,2,1,2,1,-,-,-,1,2,8,10,10,11,19,23,83%
David Luiz 4,"96'09""",,1,4,2,,9,5,4,2,1,7,9,4,1,1,6,12,38,45,6,7,50,64,78%
Oriol Romeu 6,"96'09""",,1,3,3,13,,6,2,7,8,7,7,4,3,3,4,7,49,65,14,16,67,88,76%
Ramires 7,"68'47""",,-,5,-,3,4,,1,3,4,3,2,-,-,-,2,4,17,23,6,8,25,35,71%
Fernando Torres 9,"96'09""",,-,-,2,1,2,2,,5,6,2,-,1,-,-,2,3,9,15,10,14,21,32,66%
Juan Mata 10,"77'49""",,-,8,2,1,2,2,5,,4,8,4,2,-,-,2,4,26,36,10,16,38,56,68%
Victor Moses 13,"96'09""",,-,2,-,2,4,2,2,6,,1,5,3,2,1,5,6,17,24,8,18,30,48,62%
Eden Hazard 17,"96'09""",,-,2,2,5,4,2,4,6,3,,1,1,-,2,3,9,18,27,11,14,32,50,64%
Gary Cahill 24,"96'09""",,1,9,-,19,11,4,1,1,1,-,,2,4,1,2,3,37,39,15,18,54,60,90%
Oscar 11,"27'22""",,-,6,-,3,6,-,1,1,4,3,-,,1,-,3,3,15,18,7,8,25,29,86%
Paulo Ferreira 19,"18'20""",,1,1,-,3,1,-,1,-,1,1,2,-,,-,2,3,8,8,1,1,11,12,92%
Ryan Bertrand 34,"32'00""",,-,1,-,2,1,-,4,2,-,3,1,1,-,,0,2,11,12,4,4,15,18,83%
Total passes received:,,,4,41,11,61,59,27,29,43,40,42,43,20,11,9,37,65,289,367,114,150,440,582,76%
