Manuel Neuer 1,"96'23""",,,-,9,2,-,3,4,3,1,-,4,-,4,9,20,20,2,2,26,31,84%
Franck Ribéry 7,"96'23""",,-,,1,2,3,6,2,3,7,3,12,1,2,3,30,32,8,13,40,48,83%
Javi Martínez 8,"96'23""",,4,3,,-,3,12,22,12,10,-,2,-,4,7,55,58,9,9,68,74,92%
Robert Lewandowski 9,"96'23""",,-,2,1,,1,1,-,-,1,3,3,-,0,0,7,7,5,5,12,12,100%
Douglas Costa 11,"73'38""",,-,2,1,1,,3,2,9,6,4,3,-,2,2,13,16,16,18,31,36,86%
Xabi Alonso 14,"96'23""",,2,4,7,2,4,,10,22,6,8,7,3,14,19,49,52,12,14,75,85,88%
Jérôme Boateng 17,"96'23""",,6,12,13,3,1,6,,3,7,6,14,1,14,18,55,62,3,6,72,86,84%
Philipp Lahm 21,"96'23""",,2,-,16,2,14,9,4,,24,8,6,3,3,4,68,71,17,17,88,92,96%
Arturo Vidal 23,"96'23""",,2,7,12,5,6,8,8,20,,6,6,-,6,7,60,62,14,15,80,84,95%
Thomas Müller 25,"96'23""",,-,1,2,6,6,5,3,4,4,,1,2,0,0,20,25,14,21,34,46,74%
David Alaba 27,"96'23""",,1,19,1,5,-,9,16,2,4,2,,-,2,2,41,46,16,19,59,67,88%
Kingsley Coman 29,"22'45""",,-,1,-,-,-,1,-,1,1,2,-,,0,0,5,5,1,2,6,7,86%
Total passes received:,,,17,51,63,28,38,63,71,79,71,42,58,10,51,71,423,456,117,141,591,668,88%
