Sergio Rico 1,"94'34""",,,2,-,1,-,2,4,2,5,-,3,-,1,-,10,17,10,10,0,0,20,27,74%
Mariano Ferreira 3,"94'34""",,2,,4,2,4,3,-,3,3,3,2,-,-,-,3,5,21,27,2,4,26,36,72%
Luciano Vietto 9,"94'34""",,-,1,,3,4,2,3,3,1,3,1,-,1,-,0,0,10,12,12,13,22,25,88%
Samir Nasri 10,"94'34""",,1,3,4,,8,14,8,11,3,1,3,-,3,4,3,5,30,38,30,32,63,75,84%
issam Ben Yedder 12,"82'27""",,-,4,4,6,,-,1,2,-,2,-,-,-,-,0,0,6,7,13,17,19,24,79%
Steven N'Zonzi 15,"94'34""",,1,3,3,11,1,,7,6,8,3,6,-,-,-,2,4,38,39,9,11,49,54,91%
Sergio Escudero 18,"94'34""",,-,1,3,12,1,3,,13,-,1,1,-,2,-,2,2,16,17,19,19,37,38,97%
Vitolo 20,"94'34""",,1,5,8,10,4,6,10,,3,3,2,1,6,-,4,4,37,39,18,23,59,66,89%
Nicolás Pareja 21,"94'34""",,10,5,-,1,-,4,1,5,,2,9,-,1,-,4,9,29,29,5,5,38,43,88%
Franco Vázquez 22,"58'58""",,-,5,1,3,-,5,2,2,1,,1,-,-,-,2,3,12,13,6,9,20,25,80%
Gabriel Mercado 24,"87'04""",,3,3,1,1,-,3,3,3,5,5,,-,-,-,0,4,22,24,5,5,27,33,82%
thée Kolodziejczak 5,"7'30""",,-,-,-,1,-,-,-,-,-,-,-,,-,-,1,1,0,0,0,0,1,1,100
Vicente Iborra 8,"35'36""",,1,1,-,2,1,2,3,4,-,-,-,-,,1,1,2,9,11,5,5,15,18,83%
Pablo Sarabia 17,"12'07""",,-,-,-,3,-,-,-,-,-,-,-,-,1,,0,0,1,3,3,3,4,6,67%
Total passes received:,,,19,33,28,56,23,44,42,54,29,23,28,1,15,5,32,56,241,269,127,146,400,471,85%
