Roman Bürki 38,"97'05""",,,8,2,-,1,-,-,7,2,1,4,1,4,-,3,18,26,26,1,1,30,45,67%
Marc Bartra 5,"67'48""",,7,,1,10,1,3,1,9,-,5,17,-,-,-,1,4,44,48,9,10,54,62,87%
smane Dembélé 7,"97'05""",,2,-,,3,5,-,3,1,5,2,2,-,-,-,5,5,12,18,6,7,23,30,77%
Mario Götze 10,"97'05""",,1,4,4,,4,1,5,2,6,5,2,3,-,-,2,3,26,30,9,11,37,44,84%
ck Aubameyang 17,"97'05""",,-,-,2,1,,2,3,-,1,-,3,-,-,-,0,0,8,12,4,7,12,19,63%
hristian Puliši? 22,"97'05""",,-,-,1,1,1,,2,1,2,5,2,1,-,-,0,0,12,15,4,9,16,24,67%
Shinji Kagawa 23,"97'05""",,-,4,6,3,3,2,,4,3,1,4,2,4,1,3,4,27,30,7,8,37,42,88%
pastathopoulos 25,"97'05""",,6,14,1,2,1,3,4,,9,6,12,-,-,-,7,9,44,46,7,9,58,64,91%
Matthias Ginter 28,"70'48""",,4,1,5,3,2,4,6,7,,1,4,-,-,-,1,3,27,30,9,9,37,42,88%
Felix Passlack 30,"91'52""",,5,11,1,3,-,5,1,5,1,,5,-,-,-,5,6,26,29,6,7,37,42,88%
Julian Weigl 33,"97'05""",,1,9,6,6,-,1,12,16,8,8,,4,3,-,3,3,57,63,14,17,74,83,89%
Sebastian Rode 18,"26'17""",,1,-,4,1,-,-,3,2,-,-,2,,3,-,1,2,10,10,5,7,16,19,84%
ukasz Piszczek 26,"29'17""",,7,-,-,2,-,-,2,-,-,-,5,4,,-,0,0,13,13,7,7,20,20,100
Dzenis Burnic 32,"5'13""",,-,-,-,-,-,-,-,-,-,-,-,-,-,,0,1,0,0,0,0,0,1,0%
Total passes received:,,,34,51,33,35,18,21,42,54,37,34,62,15,14,1,31,58,332,370,88,109,451,537,84%
