Willy Caballero 13,"93'09""",,,2,-,-,-,1,-,-,3,1,14,-,-,-,3,15,18,18,0,0,21,33,64%
Pablo Zabaleta 5,"93'09""",,1,,3,1,2,-,3,1,1,-,4,-,-,1,2,2,10,15,5,9,17,26,65%
Raheem Sterling 7,"70'18""",,-,-,,3,2,-,1,2,1,-,1,1,-,-,1,2,8,8,2,5,11,15,73%
"?lkay Gündo?an 8","93'09""",,-,2,2,,4,2,2,5,5,1,5,1,-,-,0,0,23,24,6,6,29,30,97%
Sergio Agüero 10,"93'09""",,-,-,3,4,,-,3,2,-,1,2,1,-,-,0,0,12,15,4,4,16,19,84%
Aleksandar Kolarov 11,"93'09""",,4,-,-,4,3,,-,4,2,1,1,-,-,-,3,6,11,13,5,7,19,26,73%
Kevin De Bruyne 17,"88'10""",,-,4,2,5,2,1,,7,-,1,-,1,-,1,1,2,18,18,5,8,24,28,86%
David Silva 21,"93'09""",,-,1,4,1,3,4,10,,3,1,-,1,-,-,0,1,14,16,14,16,28,33,85%
John Stones 24,"93'09""",,7,1,2,3,-,5,3,1,,5,3,-,-,-,5,7,23,23,2,2,30,32,94%
Fernandinho 25,"59'35""",,-,2,-,-,-,1,1,1,5,,1,-,-,-,0,1,9,12,2,4,11,17,65%
Nicolás Otamendi 30,"93'09""",,6,5,2,2,4,1,2,3,5,3,,-,-,-,4,12,26,27,3,4,33,43,77%
Fernando 6,"33'34""",,1,1,-,1,-,2,2,-,-,-,-,,-,1,1,1,7,8,0,0,8,9,89%
Nolito 9,"4'59""",,-,-,-,-,-,-,-,-,-,-,-,-,,-,0,0,0,0,0,0,0,0,0%
Jesús Navas 15,"22'51""",,-,1,-,-,1,-,1,1,-,-,-,-,-,,1,1,1,1,2,2,4,4,100
Total passes received:,,,19,19,18,24,21,17,28,27,25,14,31,5,0,3,21,50,180,198,50,67,251,315,80%
