Manuel Neuer 1,"95'07""",,,3,3,1,13,2,1,-,8,6,2,1,1,16,22,25,25,0,0,41,47,87%
Dante 4,"95'07""",,8,,20,5,13,-,1,3,-,10,10,1,3,4,7,47,51,23,25,74,83,89%
Thiago Alcántara 6,"95'07""",,1,9,,13,17,4,8,5,11,10,13,1,2,6,7,65,70,23,29,94,106,89%
Franck Ribéry 7,"85'18""",,-,5,6,,2,2,2,1,4,12,6,-,2,2,2,26,32,14,20,42,54,78%
Javi Martínez 8,"95'07""",,12,10,19,2,,6,2,1,19,3,5,-,2,7,13,60,64,14,17,81,94,86%
Mario Mandžuki? 9,"95'07""",,-,-,1,-,1,,5,3,2,1,3,1,-,1,1,8,12,8,14,17,27,63%
Arjen Robben 10,"95'07""",,-,-,3,3,4,5,,5,10,-,8,-,4,2,8,30,34,10,21,42,63,67%
Mario Götze 19,"60'02""",,-,2,3,5,1,2,4,,5,2,-,-,-,0,0,12,14,12,20,24,34,71%
Philipp Lahm 21,"95'07""",,7,5,15,5,12,3,16,7,,1,7,1,5,7,9,59,66,18,21,84,96,88%
David Alaba 27,"95'07""",,4,20,4,7,-,-,1,2,-,,8,-,3,2,5,29,39,18,22,49,66,74%
stian Schweinsteiger 31,"95'07""",,1,7,18,6,9,2,8,6,10,3,,-,3,6,8,53,59,14,17,73,84,87%
Thomas Müller 25,"9'49""",,-,-,-,-,-,-,-,-,3,-,-,,1,0,0,4,5,0,0,4,5,80%
Toni Kroos 39,"35'05""",,1,1,4,1,3,-,5,-,6,-,4,-,,2,4,22,26,1,2,25,32,78%
Total passes received:,,,34,62,96,48,75,26,53,33,78,48,66,5,26,55,86,440,497,155,208,650,791,82%
