Costel Pantilimon 30,"94'16""",,,1,3,-,-,1,5,2,2,5,2,-,1,1,7,12,14,14,2,2,23,28,82%
Pablo Zabaleta 5,"94'16""",,1,,11,4,7,6,1,2,6,2,8,9,1,1,1,1,36,40,22,26,59,67,88%
Samir Nasri 8,"78'17""",,-,6,,9,8,9,6,3,2,1,19,5,-,-,2,3,46,52,20,27,68,82,83%
"Álvaro Negredo 9","94'16""",,-,5,3,,3,3,-,7,1,1,3,1,2,-,1,7,13,18,15,18,29,43,67%
Sergio Agüero 16,"94'16""",,-,2,10,6,,7,1,6,1,-,8,2,1,-,0,0,14,22,30,35,44,57,77%
David Silva 21,"67'07""",,-,4,11,2,8,,7,10,1,2,16,3,-,-,1,4,28,34,35,40,64,78,82%
Gaël Clichy 22,"94'16""",,2,1,7,2,7,14,,3,1,7,8,5,3,-,5,7,39,47,16,17,60,71,85%
Fernandinho 25,"47'05""",,-,5,8,4,8,12,4,,3,1,8,-,-,-,3,5,38,42,12,15,53,62,85%
Martín Demichelis 26,"94'16""",,1,12,4,4,2,2,5,1,,5,3,3,-,1,5,5,24,26,14,14,43,45,96%
Matija Nastasi? 33,"94'16""",,7,1,-,1,-,3,7,2,6,,8,2,-,1,4,7,26,30,8,9,38,46,83%
Yaya Touré 42,"94'16""",,1,11,18,1,8,17,6,11,8,5,,6,2,-,12,12,59,63,23,25,94,100,94%
James Milner 7,"47'11""",,-,7,2,5,3,3,2,-,3,-,5,,2,2,3,3,25,29,6,9,34,41,83%
Aleksandar Kolarov 13,"27'09""",,-,-,-,-,3,-,3,-,-,2,-,-,,-,1,1,7,10,0,1,8,12,67%
Jesús Navas 15,"15'59""",,-,4,-,-,1,-,-,-,-,-,-,2,-,,0,1,4,5,3,5,7,11,64%
Total passes received:,,,12,59,77,38,58,77,47,47,34,31,88,38,12,6,45,68,373,432,206,243,624,743,84%
