Júlio César 12,"94'08""",,,1,-,-,11,-,1,-,5,1,1,-,-,4,11,14,14,2,2,20,27,74%
Andreas Samaris 7,"94'08""",,1,,3,3,8,5,1,9,6,12,13,1,4,5,6,46,51,15,15,66,72,92%
Nicolás Gaitán 10,"94'08""",,-,5,,-,1,3,9,3,2,-,1,2,-,1,4,16,24,9,13,26,41,63%
Kostas Mitroglou 11,"62'27""",,-,1,1,,-,-,1,3,-,-,1,-,-,1,1,2,3,4,7,7,11,64%
Victor Lindelöf 14,"94'08""",,4,12,1,-,,1,3,1,20,11,8,-,1,5,7,48,49,9,9,62,65,95%
Jonas 17,"94'08""",,-,2,9,-,4,,3,9,1,2,3,2,-,1,1,21,26,13,14,35,41,85%
Eliseu 19,"94'08""",,2,3,11,1,-,5,,1,7,-,5,2,-,4,6,22,25,11,12,37,43,86%
Pizzi 21,"70'23""",,-,2,1,3,3,5,3,,2,5,7,-,-,3,6,19,21,9,11,31,38,82%
Jardel 33,"94'08""",,3,10,6,1,13,6,12,1,,1,9,-,-,7,7,46,46,9,10,62,63,98%
André Almeida 34,"94'08""",,1,9,1,-,13,2,-,7,-,,4,1,1,0,1,27,28,12,13,39,42,93%
Renato Sanches 85,"94'08""",,1,7,11,2,7,6,5,5,7,5,,1,-,3,6,37,44,17,18,57,68,84%
Raúl Jiménez 9,"31'41""",,-,1,-,-,-,2,1,-,-,-,1,,-,0,0,3,4,2,4,5,8,62%
Carcela-González 39,"23'45""",,-,2,-,-,1,-,-,-,-,2,1,1,,1,1,5,5,1,1,7,7,100%
Total passes received:,,,12,55,44,10,61,35,39,39,50,39,54,10,6,35,57,306,340,113,129,454,526,86%
