Johan Wiland 21,"94'42""",,,6,1,4,1,1,2,-,1,2,3,2,-,2,14,29,8,10,3,3,25,42,60%
Lars Jacobsen 2,"94'42""",,1,,-,4,10,1,-,3,3,1,1,2,4,2,0,4,18,25,14,15,32,44,73%
Pierre Bengtsson 3,"94'42""",,-,-,,-,4,7,2,4,1,4,5,3,2,-,2,10,20,24,10,11,32,45,71%
Olof Mellberg 5,"94'42""",,5,6,2,,4,1,9,4,4,2,-,-,1,2,6,8,31,36,3,4,40,48,83%
Claudemir 6,"94'42""",,2,9,3,13,,8,4,3,4,4,1,1,2,7,4,5,47,53,10,10,61,68,90%
Thomas Delaney 8,"94'42""",,1,-,7,4,9,,6,4,1,3,3,1,3,2,4,8,28,34,12,13,44,55,80%
gnar Sigurdsson 17,"94'42""",,5,-,6,4,5,4,,2,3,1,1,1,3,-,2,5,24,26,9,10,35,41,85%
icolai Jørgensen 18,"72'59""",,-,2,2,-,4,3,2,,4,2,3,-,-,-,4,4,12,17,6,12,22,33,67%
Rúrik Gíslason 19,"94'42""",,-,3,1,2,6,2,-,3,,-,-,1,-,-,1,3,9,15,8,10,18,28,64%
Daniel Braaten 22,"66'25""",,-,1,1,-,2,1,-,2,-,,1,-,-,-,0,0,2,7,6,9,8,16,50%
Youssef Toutouh 24,"63'18""",,-,-,4,-,-,7,-,1,2,-,,-,-,-,0,2,6,11,8,10,14,23,61%
Fanendo Adi 12,"28'17""",,1,-,1,-,1,3,-,2,-,-,-,,-,-,0,0,1,3,7,9,8,12,67%
omas Kristensen 16,"21'43""",,-,1,1,-,7,2,1,-,1,-,-,3,,2,0,1,16,17,2,2,18,20,90%
hristián Bolaños 30,"31'24""",,-,2,-,-,1,2,-,-,1,-,-,3,3,,3,4,5,6,4,6,12,16,75%
Total passes received:,,,15,30,29,31,54,42,26,28,25,19,18,17,18,17,40,83,227,284,102,124,369,491,75%
