rkadiusz Malarz 1,"93'10""",,,-,3,-,1,5,-,-,14,-,2,-,-,-,4,10,19,19,2,2,25,31,81%
masz Jod?owiec 3,"93'10""",,-,,3,3,6,2,8,10,4,1,3,-,1,-,6,7,25,30,10,13,41,50,82%
kub Czerwi?ski 4,"93'10""",,3,1,,1,2,-,-,3,-,1,6,1,-,-,1,2,11,11,6,6,18,19,95%
Guilherme 6,"73'16""",,-,4,1,,9,-,-,4,-,6,1,-,-,-,2,2,12,14,11,11,25,27,93%
Vadis Odjidja 8,"93'10""",,-,8,-,7,,4,3,3,-,6,3,-,4,2,4,6,28,34,8,10,40,50,80%
Adam Hloušek 14,"93'10""",,2,-,-,-,3,,8,-,5,2,5,1,-,3,3,4,17,23,9,9,29,36,81%
ha? Kucharczyk 18,"93'10""",,-,6,-,-,5,6,,5,-,1,2,1,1,-,4,6,17,17,6,15,27,38,71%
sz Bereszy?ski 19,"93'10""",,1,8,2,6,2,1,4,,-,3,5,-,-,-,0,3,19,19,13,13,32,35,91%
kub Rze?niczak 25,"93'10""",,3,6,3,2,1,2,6,-,,1,6,-,-,2,3,3,23,23,6,6,32,32,100
iroslav Radovi? 32,"73'28""",,-,2,-,3,6,3,-,2,-,,2,-,-,-,0,1,10,13,8,8,18,22,82%
Thibault Moulin 75,"80'57""",,1,6,1,3,6,12,2,6,3,2,,1,-,-,8,9,26,27,9,11,43,47,91%
aleri Kazaishvili 9,"19'54""",,-,-,-,-,1,2,-,-,-,-,-,,2,-,0,0,3,3,2,2,5,5,100
emanja Nikoli? 11,"19'42""",,-,1,-,-,3,1,-,-,-,-,-,1,,-,0,0,4,5,2,2,6,7,86%
ha? Kopczy?ski 15,"12'13""",,-,3,-,-,2,2,1,-,-,-,-,-,-,,1,1,5,5,2,2,8,8,100
Total passes received:,,,10,45,13,25,47,40,32,33,26,23,35,5,8,7,36,54,219,243,94,110,349,407,86%
