ndr Shovkovskiy 1,"96'26""",,,-,-,-,4,-,5,3,1,-,-,-,8,25,4,4,1,1,13,30,43%
Betão 3,"96'26""",,2,,2,6,11,1,7,-,-,1,-,-,1,5,19,30,10,13,30,48,62%
Miguel Veloso 4,"96'26""",,-,3,,5,4,3,2,3,4,5,4,-,6,11,22,28,5,7,33,46,72%
gnjen Vukojevi? 5,"85'18""",,-,6,6,,3,1,7,3,1,6,2,-,0,2,22,29,13,16,35,47,74%
driy Yarmolenko 9,"96'26""",,-,5,2,3,,3,4,6,-,1,-,-,2,7,14,24,8,10,24,41,59%
Ideye Brown 11,"96'26""",,-,2,5,1,2,,-,3,1,1,1,-,0,1,8,14,8,10,16,25,64%
Taras Mikhalik 17,"96'26""",,6,5,3,6,3,-,,2,-,2,3,2,2,11,23,26,7,10,32,47,68%
Denys Garmash 19,"96'26""",,-,2,5,1,4,2,2,,2,2,1,1,1,2,13,26,8,12,22,40,55%
Oleh Gusev 20,"96'26""",,-,1,3,2,-,4,-,-,,3,1,-,2,5,7,14,5,8,14,27,52%
Taye Taiwo 33,"96'26""",,1,2,4,5,3,5,2,4,6,,3,1,8,12,19,29,9,11,36,52,69%
evhen Khacheridi 34,"96'26""",,5,-,2,5,1,1,5,4,3,4,,-,4,6,17,21,9,10,30,37,81%
Niko Kranj?ar 21,"11'08""",,-,1,-,-,1,1,-,-,-,-,-,,1,1,2,3,0,0,3,4,75%
Total passes received:,,,14,27,32,34,36,21,34,28,18,25,15,4,35,88,170,248,83,108,288,444,65%
