Bernd Leno 1,"94'09""",,,5,7,2,1,-,2,1,4,-,-,-,-,-,6,15,16,17,0,1,22,33,67%
Stefan Reinartz 3,"70'39""",,1,,4,9,3,5,6,10,-,3,3,-,-,-,2,2,29,33,13,13,44,48,92%
Emir Spahi? 5,"94'09""",,2,4,,7,3,1,4,3,11,-,2,2,4,-,7,11,31,43,5,6,43,60,72%
Simon Rolfes 6,"94'09""",,2,2,6,,5,2,10,5,4,2,6,1,1,-,5,6,34,42,7,10,46,58,79%
Son Heung-Min 7,"70'49""",,-,3,1,6,,1,4,3,-,2,4,-,-,-,0,0,13,15,11,16,24,31,77%
Lars Bender 8,"81'39""",,-,2,-,1,5,,-,5,2,11,4,-,-,-,1,5,22,25,7,10,30,40,75%
Emre Can 10,"94'09""",,1,2,7,8,5,-,,3,-,2,6,-,3,-,2,4,17,31,18,25,37,60,62%
Stefan Kiessling 11,"94'09""",,-,4,1,3,4,5,-,,1,3,8,3,2,1,0,0,17,23,18,24,35,47,74%
"Ömer Toprak 21","94'09""",,1,5,8,2,1,4,2,1,,8,-,-,-,1,3,6,25,28,5,5,33,39,85%
Giulio Donati 26,"94'09""",,3,3,1,3,1,14,-,4,7,,7,3,1,-,5,7,30,40,12,15,47,62,76%
Gonzalo Castro 27,"94'09""",,-,2,6,4,5,8,8,6,1,3,,-,2,2,9,12,26,34,12,15,47,61,77%
Eren Derdiyok 9,"23'20""",,-,-,-,-,-,-,-,2,-,1,1,,3,-,0,0,4,8,3,4,7,12,58%
Jens Hegeler 13,"23'30""",,-,-,1,2,-,1,3,2,-,1,7,1,,1,0,0,13,13,6,7,19,20,95%
Dominik Kohr 31,"12'30""",,1,-,-,1,-,-,-,2,-,1,-,-,1,,1,1,2,5,3,3,6,9,67%
Total passes received:,,,11,32,42,48,33,41,39,47,30,37,48,10,17,5,41,69,279,357,120,154,440,580,76%
