Artur 1,"97'04""",,,2,1,2,-,-,2,3,1,1,2,-,-,-,9,20,5,6,0,1,14,27,52%
Bruno César 8,"66'47""",,-,,6,-,1,1,2,1,3,2,2,-,-,-,0,1,13,27,5,8,18,36,50%
Lima 11,"97'04""",,-,1,,2,4,1,4,1,2,1,1,-,-,1,3,3,12,18,3,7,18,28,64%
Maxi Pereira 14,"97'04""",,2,-,2,,7,3,4,1,-,2,5,2,-,1,3,9,16,34,10,14,29,57,51%
Eduardo Salvio 18,"97'04""",,-,1,3,6,,3,3,-,1,5,5,-,-,1,2,6,22,32,4,9,28,47,60%
Rodrigo 19,"66'26""",,-,4,1,1,2,,3,1,5,-,2,-,-,-,1,2,8,19,10,15,19,36,53%
Nemanja Mati? 21,"90'51""",,1,2,1,2,2,6,,3,5,2,5,-,-,2,4,6,22,32,5,8,31,46,67%
Ezequiel Garay 24,"97'04""",,1,4,-,3,2,2,-,,1,7,3,-,-,-,5,14,15,25,3,5,23,44,52%
Melgarejo 25,"97'04""",,2,7,2,-,3,4,3,8,,2,1,-,-,3,3,6,24,40,8,12,35,58,60%
Jardel 33,"97'04""",,3,2,-,9,1,2,3,-,4,,4,2,-,1,2,3,21,26,8,19,31,48,65%
Enzo Peréz 35,"97'04""",,-,1,4,2,5,2,6,3,6,1,,-,-,2,3,7,23,32,6,13,32,52,62%
"Óscar Cardozo 7","30'38""",,-,-,1,-,-,-,-,-,1,-,-,,-,-,1,2,1,5,0,0,2,7,29%
Ola John 15,"6'13""",,-,-,-,-,-,-,-,-,-,-,-,-,,-,0,0,0,0,0,0,0,0,0%
Nicolás Gaitán 20,"30'17""",,-,-,3,-,-,-,-,-,-,-,-,5,-,,1,3,4,11,3,3,8,17,47%
Total passes received:,,,9,24,24,27,27,24,30,21,29,23,30,9,0,11,37,82,186,307,65,114,288,503,57%
