Manuel Neuer 1,"92'10""",,,6,1,-,5,1,1,4,11,-,2,1,4,-,10,11,26,26,0,0,36,37,97%
Thiago Alcántara 6,"92'10""",,1,,10,10,5,3,9,9,16,6,16,4,1,4,12,16,58,65,24,26,94,107,88%
Robert Lewandowski 9,"92'10""",,-,3,,2,2,-,5,2,-,3,2,1,-,1,1,1,12,12,8,12,21,25,84%
Douglas Costa 11,"57'16""",,-,5,2,,1,6,5,2,6,2,5,-,-,-,4,5,18,22,12,13,34,40,85%
Jérôme Boateng 17,"63'17""",,3,6,1,4,,2,6,9,11,6,14,3,-,-,8,10,46,52,11,12,65,74,88%
Juan Bernat 18,"45'07""",,1,6,-,9,1,,5,-,8,-,1,-,-,-,1,2,18,20,12,12,31,34,91%
Mario Götze 19,"92'10""",,-,12,5,4,6,3,,2,12,6,9,1,2,-,1,1,41,43,20,20,62,64,97%
Philipp Lahm 21,"92'10""",,7,9,2,4,6,-,2,,7,7,8,5,2,4,5,6,44,47,14,14,63,67,94%
David Alaba 27,"92'10""",,7,18,5,5,21,15,19,-,,2,5,1,7,1,8,8,75,76,23,26,106,110,96%
Kingsley Coman 29,"92'10""",,-,5,1,-,2,-,4,9,5,,3,-,-,5,0,1,23,23,11,12,34,36,94%
Joshua Kimmich 32,"92'10""",,4,15,6,3,10,2,8,10,19,3,,7,1,3,10,11,59,60,22,25,91,96,95%
Javi Martínez 8,"47'03""",,-,5,1,-,4,-,1,6,5,-,2,,9,2,4,4,28,30,3,3,35,37,95%
Rafinha 13,"28'53""",,1,2,1,-,-,-,4,5,6,1,6,5,,-,5,5,20,20,6,6,31,31,100
Thomas Müller 25,"34'55""",,-,3,2,-,-,-,1,2,-,4,3,1,-,,0,0,13,14,3,4,16,18,89%
Total passes received:,,,24,95,37,41,63,32,70,60,106,40,76,29,26,20,69,81,481,510,169,185,719,776,93%
