Andriy Pyatov 30,"94'36""",,,-,2,1,1,5,1,1,1,2,5,-,-,7,11,12,12,0,0,19,23,83%
Tomáš Hübschman 3,"94'36""",,2,,1,-,1,7,2,4,2,4,4,1,-,5,6,19,31,4,11,28,48,58%
Fernandinho 7,"94'36""",,-,2,,-,6,3,5,-,2,13,-,-,-,2,6,24,32,5,13,31,51,61%
Luiz Adriano 9,"94'36""",,-,1,-,,2,-,-,1,-,2,-,-,2,0,1,5,11,3,8,8,20,40%
Henrikh Mkhitaryan 22,"94'36""",,-,1,3,5,,3,-,4,-,4,-,-,2,3,4,15,24,4,11,22,39,56%
R?zvan Ra? 26,"94'36""",,-,2,1,1,3,,6,8,2,-,10,2,1,7,14,22,31,7,14,36,59,61%
Dmytro Chygrynskiy 27,"94'36""",,-,1,5,-,-,4,,1,-,12,8,-,-,4,11,24,30,3,5,31,46,67%
Taison 28,"62'27""",,-,3,1,-,6,6,-,,3,-,2,-,-,0,2,12,19,9,15,21,36,58%
Alex Teixeira 29,"84'07""",,-,1,2,1,2,1,2,3,,3,-,-,-,0,0,9,10,6,13,15,23,65%
Darijo Srna 33,"94'36""",,3,6,13,1,3,3,7,1,3,,4,-,2,8,20,30,43,8,12,46,75,61%
Yaroslav Rakitskiy 44,"94'36""",,1,3,3,-,2,8,12,-,2,3,,-,2,5,11,21,33,10,12,36,56,64%
Eduardo 11,"10'29""",,-,-,-,-,1,-,-,-,-,-,-,,-,0,0,1,1,0,2,1,3,33%
Douglas Costa 20,"32'09""",,-,-,2,-,-,-,-,-,-,5,1,-,,0,1,7,10,1,3,8,14,57%
Total passes received:,,,6,20,33,9,27,40,35,23,15,48,34,3,9,41,87,201,287,60,119,302,493,61%
