Sergei Pesyakov 30,"96'06""",,,5,1,-,1,2,6,-,2,2,3,-,9,14,13,15,0,0,22,29,76%
Juan Insaurralde 2,"96'06""",,4,,6,3,2,2,16,4,3,2,1,-,9,14,31,33,3,4,43,51,84%
Rafael Carioca 6,"96'06""",,4,7,,4,2,5,15,5,12,5,1,3,3,6,51,56,9,14,63,76,83%
Kirill Kombarov 7,"96'06""",,-,1,9,,2,2,5,2,3,-,-,-,1,3,14,19,9,9,24,31,77%
Ari 9,"62'00""",,-,1,3,1,,5,3,4,3,1,1,-,3,3,14,20,5,6,22,29,76%
Artem Dzyuba 10,"96'06""",,-,-,4,1,4,,2,5,4,1,2,1,2,4,16,22,6,13,24,39,62%
Marek Suchý 17,"96'06""",,8,8,18,12,6,1,,1,5,2,1,5,6,8,44,51,17,18,67,77,87%
"é Manuel Jurado 19","96'06""",,2,2,2,2,-,3,3,,3,6,1,2,1,2,19,25,6,8,26,35,74%
Kim Källström 21,"88'25""",,1,9,6,3,3,4,3,4,,7,2,-,7,10,29,39,6,11,42,60,70%
Dmitri Kombarov 23,"96'06""",,3,2,3,-,2,6,4,1,6,,4,-,4,12,17,23,10,14,31,49,63%
manuel Emenike 29,"96'06""",,-,-,-,-,-,2,-,5,1,2,,1,0,2,9,18,2,5,11,25,44%
Aiden McGeady 8,"34'06""",,-,-,1,2,-,-,2,3,-,-,4,,1,1,8,15,3,3,12,19,63%
Total passes received:,,,22,35,53,28,22,32,59,34,42,28,20,12,46,79,265,336,76,105,387,520,74%
